,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0.0,0.0012977556437618887,0.0,0.0,-1.8121949985913919,-0.5735095499698031,0.0,0.0,-1.4519661003826305,1.3691913659262163,0.0,0.0,-2.743525138924483,0.036099239496029896,-0.0,0.0,1.3307365525344637,-0.5302776535480628,0.0,0.0,-0.4656933062221313,1.3890850897440763,-0.0,0.0,-2.0788073304276695,0.019032575950521335,-0.0,0.0,1.6906700862737736,0.7397275018060512,0.0,0.0,0.03844421882770427,-1.4042793367061301,0.0,0.0,2.247594708801383,-0.022650664217989558,0.0,0.0,-2.0282335275418357,0.6647312145939506,0.0,0.0,0.8810444113238759,-1.4072196735650067,0.0,0.0,2.593491408400788
1,0.002237081527709961,0.0012965007682632645,0.0,0.0,-1.823444261552633,-0.5735113250032191,0.0,0.0,-1.4583681052510482,1.3691929763276132,0.0,0.0,-2.750456675469387,0.03609796555598578,-0.0,0.0,1.3484440880463644,-0.5302783690371591,0.0,0.0,-0.4752946101702563,1.3890843003751536,-0.0,0.0,-2.090638447650007,0.019033841553642305,0.0,0.0,1.6570310841979463,0.7397291553356611,0.0,0.0,0.0835674112070821,-1.404280503621336,0.0,0.0,2.2627366132437428,-0.02264939679643696,0.0,0.0,-2.0205975521310333,0.6647317134062304,0.0,0.0,0.8816551751780715,-1.4072185351232795,0.0,0.0,2.599415234563516
2,0.004724979400634766,0.0012957834223081832,0.0,0.0,-1.8475406535553722,-0.5735128568390295,0.0,0.0,-1.4610047679152218,1.3691940238652602,0.0,0.0,-2.761398163805032,0.0360972373123768,-0.0,0.0,1.3587333012953735,-0.5302793240039813,0.0,0.0,-0.4265713533360444,1.3890840327820002,-0.0,0.0,-2.0689260253549824,0.019034565032032838,0.0,0.0,1.6495139748373964,0.7397305441244978,0.0,0.0,0.0781540695916716,-1.4042811326421858,0.0,0.0,2.255012896935402,-0.022648672279110826,0.0,0.0,-2.0299517632082646,0.6647324845995641,0.0,0.0,0.8666960960139047,-1.4072179299001257,0.0,0.0,2.5893583882572537
3,0.007153034210205078,0.0012955408743091645,0.0,0.0,-1.8443239676612382,-0.5735141967452796,0.0,0.0,-1.4624977052817154,1.3691945798483487,0.0,0.0,-2.7621724172222453,0.03609699107977895,-0.0,0.0,1.3368255629211498,-0.5302805146624625,0.0,0.0,-0.4343770622197464,1.3890842342002585,-0.0,0.0,-2.065631949285279,0.019034809653520345,0.0,0.0,1.6856575984383642,0.739731718698098,0.0,0.0,0.09195664837766501,-1.4042812848618536,0.0,0.0,2.2761456639409183,-0.022648427306444674,0.0,0.0,-2.0447768198292575,0.6647335178968008,0.0,0.0,0.886144508485045,-1.4072177976852065,0.0,0.0,2.6004971530813097
4,0.009645938873291016,0.00129509350078294,0.0,0.0,-1.7498817734637189,-0.5735155616681072,0.0,0.0,-1.4484097701350158,1.3691953336959946,0.0,0.0,-2.7287328557148234,0.036096536910377744,-0.0,0.0,1.3694470547184032,-0.5302815426434979,0.0,0.0,-0.4357963920619121,1.389084212766312,-0.0,0.0,-2.0761045090028802,0.019035260851372766,0.0,0.0,1.6836883045266093,0.7397329361237571,0.0,0.0,0.07366927649611288,-1.404281647016606,0.0,0.0,2.2642266436040526,-0.022647975460952097,0.0,0.0,-2.007449270641801,0.6647343838157321,0.0,0.0,0.8710899226455457,-1.4072174563216522,0.0,0.0,2.583783432312594
5,0.012146949768066406,0.0012938874020318456,0.0,0.0,-1.8255848286065055,-0.5735173447884878,0.0,0.0,-1.463828748678273,1.3691969004056368,0.0,0.0,-2.753585467461301,0.03609531249064059,-0.0,0.0,1.340307699443828,-0.5302823116955538,0.0,0.0,-0.4669574953289881,1.3890834814386634,-0.0,0.0,-2.082582999453781,0.01903647726075887,0.0,0.0,1.6981934403935237,0.739734591492517,0.0,0.0,0.0736657241560498,-1.4042827628837091,0.0,0.0,2.271154383879043,-0.02264675730638821,0.0,0.0,-2.0134801479111326,0.6647349356809445,0.0,0.0,0.897296720958488,-1.407216368905939,0.0,0.0,2.5996128119851383
6,0.014685869216918945,0.0012925096076150664,0.0,0.0,-1.8255523604086328,-0.5735192211680963,0.0,0.0,-1.4365586191502882,1.3691986507167813,0.0,0.0,-2.7404372568290305,0.036093913768719184,-0.0,0.0,1.3362749862971566,-0.5302830206990035,0.0,0.0,-0.42528204864222713,1.3890825889720666,-0.0,0.0,-2.0612355371960542,0.019037866833407368,0.0,0.0,1.6810897595487153,0.7397363447840815,0.0,0.0,0.0778611661902882,-1.4042840494057596,0.0,0.0,2.265653402392563,-0.02264536574155862,0.0,0.0,-2.0131355412648797,0.6647354151818975,0.0,0.0,0.8865179989616977,-1.4072151125357049,0.0,0.0,2.5937761990864616
7,0.017139911651611328,0.0012915415952305942,0.0,0.0,-1.8462712442117482,-0.5735208832296138,0.0,0.0,-1.455655419546914,1.3691999648355369,0.0,0.0,-2.7562467412623453,0.03609293105385681,0.0,0.0,1.3956490896281721,-0.5302838817376572,0.0,0.0,-0.4439563976616517,1.3890820840093627,-0.0,0.0,-2.0817721640837887,0.019038843121062975,0.0,0.0,1.6616583603337505,0.7397378714493896,0.0,0.0,0.10373591850783372,-1.4042849279973952,0.0,0.0,2.271983212626413,-0.02264438805516633,0.0,0.0,-2.056761161875177,0.6647360751519577,0.0,0.0,0.885695276760929,-1.4072142601144288,0.0,0.0,2.6088324155734135
8,0.019639015197753906,0.0012910709099323014,0.0,0.0,-1.8297821830536822,-0.5735223111704764,0.0,0.0,-1.4484081120785166,1.3692007559587729,0.0,0.0,-2.7475074617471815,0.036092453219989676,-0.0,-0.0,1.3479174614320457,-0.5302849547246015,0.0,0.0,-0.43555382781763297,1.3890820585670414,-0.0,0.0,-2.068007283452694,0.019039317830041768,0.0,0.0,1.655847744141442,0.739739145358993,0.0,0.0,0.0724410400847175,-1.404285309602859,0.0,0.0,2.256488856771939,-0.02264391266634469,0.0,0.0,-2.021944842397657,0.664736978568996,0.0,0.0,0.8789114199994995,-1.4072139002344057,0.0,0.0,2.590665186648425
9,0.022140026092529297,0.0012907712971244045,0.0,0.0,-1.8316973356652626,-0.5735235952889565,0.0,0.0,-1.466878442203344,1.3692013516421793,0.0,0.0,-2.760787729684087,0.036092149056826575,-0.0,0.0,1.3495171589439314,-0.5302860338030962,0.0,0.0,-0.42179188625532926,1.3890821755961533,-0.0,0.0,-2.0637424389550274,0.01903962000415506,-0.0,0.0,1.7231507791441396,0.7397402780419599,0.0,0.0,0.032917061444131396,-1.4042855249081116,0.0,0.0,2.259579153141019,-0.022643610059564168,0.0,0.0,-2.0454673287157457,0.6647379062444579,0.0,0.0,0.892945598393259,-1.407213704203546,0.0,0.0,2.6078113669142238
