t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qdd_fl1,qdd_fl2,qdd_fl3,qdd_fr1,qdd_fr2,qdd_fr3,qdd_bl1,qdd_bl2,qdd_bl3,qdd_br1,qdd_br2,qdd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0,0.1,-0.5,1.2,-0.1,-0.5,1.2,-0.1,0.5,-1.2,0.1,0.5,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.000784421545973,-0.115804082126601,0.020681054423676,0.000717748616012,-0.116311738732747,0.022028819336356,0.002543659283049,0.07596356252202,0.069731808423057,-0.003878546596241,0.076360394458561,0.068635231320059,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.0025,0.100000020038462,-0.500002853475716,1.20000052312447,-0.099999982659442,-0.500002866105535,1.20000055654432,-0.099999937846544,0.500001869154336,-1.19999828930896,0.099999904534306,0.500001879089755,-1.19999831662197,3.30799768967384E-06,-0.000472004605845,8.64108878516541E-05,2.87123888838748E-06,-0.000474092481049,9.19367695636652E-05,1.02856311304971E-05,0.000309213221246,0.000283027442625,-1.57916012970834E-05,0.000310855031937,0.000278512562496,0.000442693491162,-0.069652605503088,0.011883091136151,0.000445925770369,-0.069953015122284,0.01268516424708,0.001551463368291,0.04579683553641,0.042253324376036,-0.002337211371471,0.046029099864337,0.041605709732189,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.005,0.100000039764101,-0.500005738215017,1.2000010418543,-0.099999964871504,-0.500005763521805,1.20000110890148,-0.099999874620654,0.500003760777548,-1.19999655428291,0.099999807947737,0.5000037806386,-1.1999966089873,5.60694423416094E-06,-0.000807823126901,0.000146848121888,4.94065675553493E-06,-0.000811387193874,0.000156289394591,1.76439143512339E-05,0.000529411576861,0.000484976204164,-2.70350032361039E-05,0.000532209423482,0.000477271572958,0.000204386034385,-0.036798363593384,0.005712595940137,0.000250139290995,-0.036952134158467,0.006127762192346,0.000841598400254,0.024301736412327,0.022644951994869,-0.00123951028254,0.024418011641151,0.022314777619516,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.0075,0.100000059218229,-0.500008648948862,1.20000155668334,-0.099999946704099,-0.500008686970641,1.20000165752838,-0.099999810492955,0.500005671101049,-1.1999947988202,0.099999710423634,0.500005700878006,-1.19999488097819,7.0634725264993E-06,-0.001029240289823,0.000185563931039,6.33411778494417E-06,-0.001033767656593,0.000197569370664,2.25393886039757E-05,0.000674813050351,0.000618766384679,-3.44572700476739E-05,0.000678360089432,0.000608982875241,5.24353469721393E-05,-0.015114219020186,0.001739543176501,0.000118466085835,-0.015172169936044,0.001901025593096,0.000369271439829,0.010093184296834,0.009652655466461,-0.000514524683968,0.010134156427645,0.009529664169623,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.01,0.100000078442155,-0.500011580408213,1.20000206810544,-0.099999928225138,-0.500011631173873,1.20000220288193,-0.099999745634072,0.500007596356252,-1.19999302681916,0.09999961214534,0.500007636039446,-1.19999313647687,7.84421545972691E-06,-0.001158040821266,0.000206810544237,7.17748616011704E-06,-0.001163117387327,0.000220288193364,2.54365928304878E-05,0.00075963562522,0.000697318084231,-3.87854659624054E-05,0.000763603944586,0.000686352313201,-3.02223997437068E-05,-0.002473034406194,-0.000466092813895,3.89830628364507E-05,-0.002476196549765,-0.000450633129731,8.96895479058912E-05,0.001786098336993,0.002022398977715,-9.13359302785466E-05,0.001784560862461,0.002017598570092,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.0125,0.100000097477191,-0.500014527324028,1.20000257661447,-0.099999909502534,-0.500014590853334,1.20000274541903,-0.099999680214629,0.50000953277457,-1.19999124217812,0.099999513296197,0.500009582354391,-1.19999137936556,8.11580592688178E-06,-0.001216009447884,0.000214840190411,7.59662606455538E-06,-0.001221319904198,0.000228957358272,2.68000659725357E-05,0.000798097284974,0.000733551402878,-4.07466552109107E-05,0.000802237903742,0.000722085730692,-6.06510344304853E-05,0.003252327625897,-0.001334337690184,-2.32870055828469E-07,0.003272711905624,-0.001382801555191,-4.19402146248572E-05,-0.002004602320134,-0.001499853284464,0.000100974624008,-0.002023748415757,-0.001454189991495,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.015,0.100000116364648,-0.500017484427269,1.20000308270426,-0.099999890604196,-0.500017560730855,1.20000328559656,-0.099999614405251,0.500011476587415,-1.19998944879543,0.099999414059546,0.500011536054313,-1.19998961352648,8.04487682100189E-06,-0.00122493089633,0.000213905098492,7.71740168176102E-06,-0.001230258725324,0.000228088360971,2.70943469718845E-05,0.000804416013116,0.000740386440684,-4.10679020238019E-05,0.000808558881699,0.000728888971569,-5.59143857560574E-05,0.004189004453387,-0.001295217111503,-1.11048048952451E-05,0.004211481335373,-0.001351067262345,-7.04107868729216E-05,-0.002663998527482,-0.002168137133174,0.00013332562437,-0.002683744768367,-0.002118472327555,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.0175,0.100000135145837,-0.500020446448895,1.20000358686869,-0.099999871598038,-0.500020535528267,1.20000382387144,-0.099999548376563,0.5000134240262,-1.19998765056942,0.099999314618729,0.500013493370685,-1.19998784284184,7.79806103512524E-06,-0.00120658989326,0.000208257497411,7.6656771952358E-06,-0.001211817368826,0.000222192697042,2.67839747702998E-05,0.000792809793154,0.000730743297706,-4.04762706316912E-05,0.000796863793256,0.000719467879687,-3.30762823882838E-05,0.002464133453579,-0.000778756736987,-5.55583373567466E-06,0.002477037644735,-0.000811017830251,-4.05151079479548E-05,-0.001577171137991,-0.001236488381509,7.66357162856279E-05,-0.001588401556727,-0.001208019250506,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.02,0.100000153862069,-0.500023408119866,1.2000040896016,-0.099999852551971,-0.500023509967402,1.20000436070055,-0.099999482299189,0.500015371322338,-1.19998585139842,0.099999215157088,0.500015450534978,-1.19998607119388,7.54199146228984E-06,-0.001182771165328,0.000202149616098,7.56731678848155E-06,-0.001187879352825,0.000215781862066,2.63334883095467E-05,0.00077749660859,0.000717542074008,-3.96988252651909E-05,0.00078144955321,0.000706528298902,-9.20055299502565E-06,0.000204852003776,-0.000214982225771,4.49095136900723E-06,0.00020630673896,-0.000218240837967,2.95388304039079E-06,-0.000129201004597,4.10571574320784E-05,1.82354523303729E-06,-0.000130692142193,4.43984272351372E-05,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
0.0225,0.100000172546191,-0.500026365255986,1.20000459129536,-0.099999833519888,-0.500026479856847,1.20000489644703,-0.099999416308653,0.500017315483174,-1.19998405437828,0.099999115820185,0.50001740455461,-1.19998430166571,7.40724088256836E-06,-0.001170764268988,0.000198924932339,7.52298818676511E-06,-0.001175812339648,0.000212404581788,2.61127679131063E-05,0.000769767422683,0.000711052780154,-3.93127614228087E-05,0.00077366937728,0.000700170921807,2.33710686545741E-06,-0.000900651264381,5.79450826384832E-05,9.49514971380129E-06,-0.000904783780423,6.88662622894601E-05,2.43274132145864E-05,0.000579973965444,0.000667654378694,-3.4810733653283E-05,0.000583220573037,0.000658740581456,0.428960321671633,3.02166871756275,0.907849709257672,-0.43033211013363,3.02001964581746,0.904199004416495,5.97416787075513,4.09302573733596,2.0979131952249,-5.97106967981276,4.06900914583224,2.09056487685592
