,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
0,0,0.012455722000693,-0.116269572332412,-0.031913487643522,-0.769941967769002,-1.27795658854201,2.2139632740582,1.04711600917801,-0.378276139450865,1.20406359785088,-0.059817440940424,0.108692560816791,0.035727711372981,-0.831108008660451,1.53805353682955,2.16509454612034,1.08594803772937,0.663044725014902,1.21256404221414,-0.13798511504948,0.078614046388479,0.041802206674808,0.526909110635845,-1.33954137899597,-2.11745068467783,-1.24742209370454,-0.62891908667829,-0.919320720857668,0.096784632023389,0.048750698171529,-0.038779882617816,0.527529225202536,1.31811207557615,-2.16501107568878,-1.19124945966269,0.542569012407498,-0.967149896970739
1,0.0025,0.012105846224273,-0.108908573363236,-0.027437624163538,-0.772892378928407,-1.32207102217872,1.9034678132295,1.04639296837617,-0.410138098090556,1.0364604713639,-0.059695314057415,0.133604212989937,0.031305462606584,-0.827710184504906,1.61450192071998,1.86303754347929,1.08756216084005,0.672227155128656,1.04092721333803,-0.137812145404456,0.082675841190269,0.036042039336502,0.523877019419701,-1.39409049610228,-1.81921482214157,-1.24885544053614,-0.656223085700438,-0.787126567237354,0.096836583622266,0.059689059042564,-0.034016100465975,0.530578037068288,1.36596800849494,-1.8626853862255,-1.18980234594958,0.525070066932227,-0.83360118053232
2,0.005,0.011765041805808,-0.101743104022616,-0.023030322572652,-0.775910647287873,-1.36527433482768,1.59884744137389,1.04560646792128,-0.441125772860247,0.871804701466917,-0.059525541451421,0.158045378100816,0.026900212163678,-0.824189515874702,1.68985985206438,1.56641430478108,1.08919056761077,0.681262128495279,0.872744725096342,-0.137632702374269,0.086661065720416,0.030362342464843,0.520757772090627,-1.44808978302697,-1.52678677116483,-1.25032709677527,-0.681846559574031,-0.657854262876205,0.09691094814789,0.070421652075137,-0.02926101897458,0.533695351680053,1.41144496276688,-1.56582668819447,-1.18837091050243,0.510402688890289,-0.702167416836312
3,0.0075,0.011435018790982,-0.094856858055562,-0.01869406506716,-0.778996200671029,-1.40654650118074,1.30041667716315,1.0447597810351,-0.470945898054852,0.710232534602817,-0.059312731511654,0.1814289111366,0.022512067176934,-0.820548639087424,1.76223617098551,1.2754872902756,1.09083341531347,0.689952351785628,0.708228852293849,-0.137446931892455,0.090473951340076,0.024765630141773,0.517552638789456,-1.50013210973348,-1.24049744870315,-1.25183658333037,-0.705440483937805,-0.531734862300345,0.097005508259044,0.080736398214288,-0.024514662976367,0.536880633117792,1.45378797688061,-1.27470176902337,-1.18695608737302,0.498346974256833,-0.572929582169963
4,0.01,0.011117487225479,-0.088333529207084,-0.01443133384336,-0.782148466901504,-1.44486749592978,1.00849003926908,1.04385618093939,-0.499305207969285,0.551880217214488,-0.059061492627328,0.20316766708446,0.018141134779021,-0.816790190460657,1.82973971760612,0.990518960212735,1.09249086122006,0.698100531670563,0.547591869735333,-0.13725497989255,0.094018729410409,0.01925441644923,0.514262889657023,-1.54881034618525,-0.960677771712075,-1.25338342110986,-0.726655834430499,-0.408999420035898,0.097118046614511,0.090421218405056,-0.019777057304075,0.540133345461467,1.49224208932477,-0.989577416139877,-1.1855588106131,0.48868301900701,-0.445968652820519
5,0.0125,0.010814157154981,-0.08225681122219,-0.010244611097549,-0.785366873802929,-1.47921729376665,0.723382046363488,1.04289894085589,-0.525910436898461,0.39688399574482,-0.058776433187654,0.22267450093157,0.013787522102609,-0.812916806311985,1.89047933204894,0.711771774842369,1.09416306260245,0.705509374820941,0.391046052225572,-0.137056992308089,0.097199631292573,0.013831215469155,0.510889794834163,-1.59271736234571,-0.687658657147161,-1.25496713102218,-0.745143586690851,-0.289878990608989,0.097246345873073,0.09926403359248,-0.015048226790441,0.543452952791039,1.52605233858799,-0.710720416971678,-1.18418001427445,0.481190919115972,-0.32136560507523
6,0.015,0.010526738625172,-0.076710397845891,-0.006136379026022,-0.788650849198932,-1.50857586938321,0.445407217118169,1.04189133400636,-0.550468319137294,0.245380116636703,-0.058462161581846,0.2393622676651,0.009451336280367,-0.808931122958992,1.94256385443672,0.439508194414385,1.09585017673258,0.711981587907622,0.238803674569347,-0.136853115072608,0.099920888347727,0.008498541283488,0.50743462446171,-1.63044602817832,-0.421771021963954,-1.25658723397574,-0.7605547163576,-0.174604628545742,0.097388188693513,0.1070527647216,-0.010328196268203,0.546838919186469,1.55446376315893,-0.438397558946452,-1.18282063240883,0.475650770558868,-0.199201415221344
7,0.0175,0.010256941681736,-0.071777982823196,-0.002109119825077,-0.791999820913143,-1.53192319747133,0.17488007020492,1.04083663361256,-0.572685588980697,0.097504826333026,-0.058123286199115,0.252643822272224,0.005132684444967,-0.804835776719264,1.98410212489219,0.173990679178667,1.09755236088236,0.717319877601463,0.091077011571437,-0.136643494119641,0.102086731937028,0.003258907974167,0.503898648680498,-1.66058921364651,-0.163345783118,-1.25824325087897,-0.772540199069485,-0.063407388372283,0.097541357734612,0.113575332737454,-0.005616990570098,0.550290708727719,1.57672140152621,-0.17287562949188,-1.18148159906801,0.471842669310848,-0.079557059546108
8,0.02,0.010006476370355,-0.067543259899115,0.001834684308989,-0.795413216769193,-1.54823925272287,-0.087884875704462,1.03973811289624,-0.592268980723585,-0.046605628723323,-0.057764415428674,0.261932019740113,0.000831673729076,-0.800633403910385,2.01320298353812,-0.084518310614904,1.0992697723237,0.721326950573324,-0.051921661963379,-0.136428275382726,0.103601393421635,-0.001885170376866,0.500283137631362,-1.68173978871372,0.087286142435152,-1.2599347026403,-0.780751010465242,0.043481675385265,0.097703635655155,0.118619658585083,-0.000914634528864,0.553807785494749,1.59207029217848,0.085578583964356,-1.18016384830376,0.469546711347064,0.037486485663228
9,0.0225,0.009777052736714,-0.064089922818656,0.005692551179878,-0.79889046459071,-1.55650400982968,-0.342573101938173,1.03859904507916,-0.608925228660872,-0.186815002089454,-0.057390157659736,0.26663971505594,-0.003451588734634,-0.79632664084994,2.02797527049723,-0.33575631471644,1.10100256832854,0.723805513494062,-0.189980071230321,-0.136207604795397,0.104369104162707,-0.006931179687672,0.496589361455136,-1.6924906233434,0.329793837739952,-1.26166111016815,-0.784838126183612,0.145831508200777,0.097872805113922,0.121973663209526,0.003778847022762,0.557389613567522,1.59975547360438,0.336698293994573,-1.17886831416784,0.468542992642666,0.151848244119417
10,0.025,0.009568329661339,-0.061422156018517,0.009461998591296,-0.802444026506931,-1.55711455684312,-0.588870089824421,1.03741083174777,-0.622815521806641,-0.322987047322478,-0.056989638422465,0.267022046458007,-0.007716995813494,-0.791893403912438,2.02931663765355,-0.579460872876062,1.10275275441078,0.724857470468247,-0.322885941424612,-0.135980264692294,0.104436231145651,-0.011876605876312,0.492802590123506,-1.69356157142462,0.563846385840856,-1.26343283763632,-0.784484068466593,0.243411055548128,0.098053379010012,0.12370627199163,0.008463429252042,0.561052688982949,1.59984554413871,0.580216713171092,-1.17760267606781,0.469876109284833,0.263447239535212
11,0.0275,0.009371886499066,-0.059206272708604,0.013140544346944,-0.806123108488378,-1.55582108533868,-0.826461320691405,1.03612750559485,-0.635769741594954,-0.454985517979505,-0.056502765721229,0.266488734713607,-0.011964440374834,-0.787239724042814,2.0284946091432,-0.815369524843884,1.10452720822307,0.725689315877041,-0.450426997741472,-0.135741071349404,0.104376781310081,-0.016718934860845,0.488862183833048,-1.69353147286581,0.789112869782313,-1.26529082088651,-0.779953264958615,0.335989262901194,0.098271568235297,0.12496181396082,0.013139087326239,0.564861220772605,1.59575004328198,0.815867054066231,-1.17639188419596,0.478388419319476,0.372202495623364
12,0.03,0.009185873089487,-0.057330383755094,0.016725706250525,-0.809915710630902,-1.55352933524519,-1.05503227586732,1.03475364503488,-0.648000240926187,-0.582674167617646,-0.055934727224181,0.265533989925163,-0.016193815285985,-0.782384779721357,2.02702347557381,-1.04321981037002,1.10632367802224,0.726450587854517,-0.572390965376119,-0.135491081512788,0.104266508860324,-0.021455652559332,0.484781562716808,-1.69347395554957,1.00526237260878,-1.26722508432086,-0.772018933565551,0.423335075733849,0.098525611900113,0.125942541067304,0.017805796412614,0.568799039984306,1.58836959193004,1.04338252925231,-1.17522688962609,0.493295154651614,0.478033036096623
13,0.0325,0.00900943883732,-0.055719602817149,0.020211232505686,-0.813802450211477,-1.55043829901936,-1.27398234424117,1.03330027712507,-0.659489335771796,-0.705722306134113,-0.055299086849923,0.26423004073863,-0.020393443308346,-0.777361595810532,2.02501504445794,-1.26242585670999,1.10813884131771,0.727139798451379,-0.688460737329734,-0.135232115670182,0.104109626736981,-0.026077478543075,0.480583152772139,-1.69338946686449,1.2117264151625,-1.26921951086958,-0.761471240057709,0.505215957492638,0.098810129488896,0.126711544737649,0.022450914149414,0.572840309313251,1.57821032397123,1.26216735941072,-1.17409469956404,0.513111780362935,0.580668779281349
14,0.035,0.008841733147286,-0.054299043553932,0.023557267275318,-0.817763944507079,-1.54674696911789,-1.48031787420846,1.03177842892262,-0.670219342103238,-0.822076118416478,-0.05460940851706,0.262649115799965,-0.024439136553245,-0.772203197172809,2.02258112330811,-1.46958047741577,1.1099693756189,0.727755459718331,-0.797563351410537,-0.134965994309319,0.103910347880651,-0.030512392376882,0.476289379996394,-1.69327845419916,1.40603641222403,-1.2712579834629,-0.749100350205394,0.581673137288903,0.09911974048608,0.12733191639842,0.02693898736683,0.576959191454635,1.56577837329388,1.46875552890401,-1.17298232121565,0.536353761535124,0.678099552391094
15,0.0375,0.008681905424104,-0.052993819624605,0.026771722722307,-0.821780810794682,-1.54265433799746,-1.67499539681786,1.03019912748472,-0.680172575891972,-0.93216690372412,-0.053879256144194,0.260863443755123,-0.028333976974605,-0.766942608670653,2.01983351963687,-1.66550222221447,1.11181195843522,0.728296083706076,-0.90032318664896,-0.134694537917935,0.103672885231935,-0.034769116152402,0.471922670386926,-1.69314136494218,1.58918352411028,-1.27332438503105,-0.735696429778912,0.653359175899505,0.0994490643761,0.127866747476183,0.031273117336167,0.581129849103657,1.55157987378632,1.66397914228526,-1.17187676178678,0.56153656324987,0.770599359469725
