t[s],q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3
0,0,-0.437344578171249,1.81592151707607,0,-0.437344578171249,1.81592151707607,0,1.18265238457163,-2.47397187289193,0,1.18265238457163,-2.47397187289193,0,4.35095161517785E-26,5.74448705129105E-28,0,4.35095161517785E-26,5.74448705129105E-28,0,2.27529354842853E-26,2.43141355602546E-27,0,2.27529354842853E-26,2.43141355602546E-27,0,0.460789949702571,-0.796788607228131,0,0.460789949702571,-0.796788607228131,0,-2.93610038659156,3.42714937671286,0,-2.93610038659156,3.42714937671286
0.0025,0,-0.436623515521929,1.81519595236158,0,-0.436623515521929,1.81519595236158,0,1.18073821905062,-2.47266311900176,0,1.18073821905062,-2.47266311900176,0,0.1155372756397,-0.119233198665185,0,0.1155372756397,-0.119233198665185,0,-0.312933219717386,0.21984203421547,0,-0.312933219717386,0.21984203421547,0,0.435669152631566,-0.760838247232684,0,0.435669152631566,-0.760838247232684,0,-2.48834587906127,3.01608949001364,0,-2.48834587906127,3.01608949001364
0.005,0,-0.435777338396397,1.81444833390712,0,-0.435777338396397,1.81444833390712,0,1.17847268341923,-2.47117499248586,0,1.17847268341923,-2.47117499248586,0,0.212968840372441,-0.206279923080943,0,0.212968840372441,-0.206279923080943,0,-0.574434571503384,0.392692623213937,0,-0.574434571503384,0.392692623213937,0,0.410138807220237,-0.722175582314349,0,0.410138807220237,-0.722175582314349,0,-2.17414981031986,2.68325195194082,0,-2.17414981031986,2.68325195194082
0.0075,0,-0.434799562950617,1.81368117475803,0,-0.434799562950617,1.81368117475803,0,1.17587421448154,-2.46954820590509,0,1.17587421448154,-2.46954820590509,0,0.295584116705693,-0.266087389490974,0,0.295584116705693,-0.266087389490974,0,-0.791484516336407,0.523398875292345,0,-0.791484516336407,0.523398875292345,0,0.386560793248818,-0.685618558753889,0,0.386560793248818,-0.685618558753889,0,-1.96078853256887,2.41632456251904,0,-1.96078853256887,2.41632456251904
0.01,0,-0.433683705340549,1.81289698795968,0,-0.433683705340549,1.81289698795968,0,1.1729612490416,-2.46782347182033,0,1.1729612490416,-2.46782347182033,0,0.366672527146926,-0.303602814138974,0,0.366672527146926,-0.303602814138974,0,-0.971063515194866,0.616807898747634,0,-0.971063515194866,0.616807898747634,0,0.367296990497547,-0.655985122832067,0,0.367296990497547,-0.655985122832067,0,-1.81553839800981,2.20299512177294,0,-1.81553839800981,2.20299512177294
0.0125,0,-0.432423281722156,1.81209828655741,0,-0.432423281722156,1.81209828655741,0,1.1697522239035,-2.46604150279243,0,1.1697522239035,-2.46604150279243,0,0.429523494203609,-0.323773413268641,0,0.429523494203609,-0.323773413268641,0,-1.12015202905717,0.677766801876747,0,-1.12015202905717,0.677766801876747,0,0.354709278746659,-0.638093220829646,0,0.354709278746659,-0.638093220829646,0,-1.70567575884421,2.03095142972715,0,-1.70567575884421,2.03095142972715
0.015,0,-0.4310118082514,1.8112875835966,0,-0.4310118082514,1.8112875835966,0,1.1662655758713,-2.46424301138225,0,1.1662655758713,-2.46424301138225,0,0.487426440383211,-0.331546403123674,0,0.487426440383211,-0.331546403123674,0,-1.24573051890174,0.711122692976626,0,-1.24573051890174,0.711122692976626,0,0.35115953777639,-0.636760799027387,0,0.35115953777639,-0.636760799027387,0,-1.59847696727359,1.88788128640629,0,-1.59847696727359,1.88788128640629
0.0175,0,-0.429442801084244,1.81046739212258,0,-0.429442801084244,1.81046739212258,0,1.16251974174907,-2.46246871015067,0,1.16251974174907,-2.46246871015067,0,0.543670788193204,-0.33186899994777,0,0.543670788193204,-0.33186899994777,0,-1.35477944570699,0.721722680344213,0,-1.35477944570699,0.721722680344213,0,0.359009647366974,-0.656805803706054,0,0.359009647366974,-0.656805803706054,0,-1.46121837549947,1.761472491835,0,-1.46121837549947,1.761472491835
0.02,0,-0.427709776376649,1.80964022518072,0,-0.427709776376649,1.80964022518072,0,1.15853315834087,-2.46075931165854,0,1.15853315834087,-2.46075931165854,0,0.601545960141056,-0.329688419984627,0,0.601545960141056,-0.329688419984627,0,-1.45427927045131,0.71441387227645,0,-1.45427927045131,0.71441387227645,0,0.380621487298649,-0.703046181146409,0,0.380621487298649,-0.703046181146409,0,-1.26117633572338,1.63941284603792,0,-1.26117633572338,1.63941284603792
0.0225,0,-0.42580821571959,1.80880817023381,0,-0.42580821571959,1.80880817023381,0,1.15432839252069,-2.45915687877362,0,1.15432839252069,-2.45915687877362,0,0.663739576456669,-0.329381556248722,0,0.663739576456669,-0.329381556248722,0,-1.54993740948172,0.69330963395738,0,-1.54993740948172,0.69330963395738,0,0.417476832909547,-0.778640692249174,0,0.417476832909547,-0.778640692249174,0,-0.974299362198764,1.51299083604288,0,-0.974299362198764,1.51299083604288
