,q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
126,0.01760946978659787,0.32667713864193637,0.0,0.8240606206139431,1.3978900878455869,0.0,-1.3222207338445775,0.5956354076017601,0.0,-0.01760946978659787,-0.32667713864193637,0.0,0.8240606206139431,1.3978900878455869,0.0,-1.3222207338445775,0.5956354076017601,0.0,0.18425733928454197,0.03481659187899421,0.0,0.5418811890055825,-1.8100607705357534,0.0,-1.2471015412742836,-0.7686123398543756,0.0,-0.18425733928454197,-0.03481659187899421,0.0,0.5418811890055825,-1.8100607705357534,0.0,-1.2471015412742836,-0.7686123398543756,0.0
127,0.018339759319822412,0.32108579445151847,0.0,0.8276765461416982,1.3449747834464412,0.0,-1.321099972158635,0.5898600349742735,0.0,-0.018339759319822412,-0.32108579445151847,0.0,0.8276765461416982,1.3449747834464412,0.0,-1.321099972158635,0.5898600349742735,0.0,0.18426738651775282,0.03447900484310941,0.0,0.5388561627950964,-1.7925101425931835,0.0,-1.2482720590103158,-0.7611597562569423,0.0,-0.18426738651775282,-0.03447900484310941,0.0,0.5388561627950964,-1.7925101425931835,0.0,-1.2482720590103158,-0.7611597562569423,0.0
128,0.019095032341476848,0.31169200046312323,0.0,0.8312950951336497,1.270293174842904,0.0,-1.3198748537175335,0.5779893355947223,0.0,-0.019095032341476848,-0.31169200046312323,0.0,0.8312950951336497,1.270293174842904,0.0,-1.3198748537175335,0.5779893355947223,0.0,0.18428803759825188,0.033785128538340786,0.0,0.5353877369556235,-1.756436586536028,0.0,-1.2496714702403982,-0.745841717890887,0.0,-0.18428803759825188,-0.033785128538340786,0.0,0.5353877369556235,-1.756436586536028,0.0,-1.2496714702403982,-0.745841717890887,0.0
129,0.01987653971067289,0.29766531121151096,0.0,0.8349165110853604,1.174768150746171,0.0,-1.3185441417047892,0.5578267096507401,0.0,-0.01987653971067289,-0.29766531121151096,0.0,0.8349165110853604,1.174768150746171,0.0,-1.3185441417047892,0.5578267096507401,0.0,0.18432311388130215,0.03260656542785189,0.0,0.53147935951251,-1.69516491298134,0.0,-1.2512951828773284,-0.7198237160954428,0.0,-0.18432311388130215,-0.03260656542785189,0.0,0.53147935951251,-1.69516491298134,0.0,-1.2512951828773284,-0.7198237160954428,0.0
130,0.020685532286522246,0.27817528123144136,0.0,0.8385410374923924,1.059322599867435,0.0,-1.317106599303919,0.5271755573299595,0.0,-0.020685532286522246,-0.27817528123144136,0.0,0.8385410374923924,1.059322599867435,0.0,-1.317106599303919,0.5271755573299595,0.0,0.1843764367221666,0.030814917974806233,0.0,0.5271344784911023,-1.602019932546169,0.0,-1.2531386048339037,-0.6802712422098416,0.0,-0.1843764367221666,-0.030814917974806233,0.0,0.5271344784911023,-1.602019932546169,0.0,-1.2531386048339037,-0.6802712422098416,0.0
131,0.021523260928136587,0.2523914650576754,0.0,0.8421689178503081,0.9248794109178973,0.0,-1.3155609896984395,0.4838392788200153,0.0,-0.021523260928136587,-0.2523914650576754,0.0,0.8421689178503081,0.9248794109178973,0.0,-1.3155609896984395,0.4838392788200153,0.0,0.18445182747610822,0.028281788642367443,0.0,0.5223565419167471,-1.4703264558475724,0.0,-1.255197144022921,-0.6243497875733179,0.0,-0.18445182747610822,-0.028281788642367443,0.0,0.5223565419167471,-1.4703264558475724,0.0,-1.255197144022921,-0.6243497875733179,0.0
132,0.02239097649462764,0.21948341722497217,0.0,0.8458003956546701,0.772361472608748,0.0,-1.3139060760718673,0.42562127430853913,0.0,-0.02239097649462764,-0.21948341722497217,0.0,0.8458003956546701,0.772361472608748,0.0,-1.3139060760718673,0.42562127430853913,0.0,0.18455310749839005,0.024878779893698955,0.0,0.5171489978147906,-1.2934092935025965,0.0,-1.2574662083571784,-0.5492248435251024,0.0,-0.18455310749839005,-0.024878779893698955,0.0,0.5171489978147906,-1.2934092935025965,0.0,-1.2574662083571784,-0.5492248435251024,0.0
133,0.023289929845107058,0.17862069226809335,0.0,0.8494357144010406,0.60269167365119,0.0,-1.3121406216077192,0.35032494398316694,0.0,-0.023289929845107058,-0.17862069226809335,0.0,0.8494357144010406,0.60269167365119,0.0,-1.3121406216077192,0.35032494398316694,0.0,0.184684098144275,0.02047749419196447,0.0,0.5115152942105795,-1.0645932561283016,0.0,-1.2599412057494719,-0.45206190140443114,0.0,-0.184684098144275,-0.02047749419196447,0.0,0.5115152942105795,-1.0645932561283016,0.0,-1.2599412057494719,-0.45206190140443114,0.0
134,0.024221371838686563,0.1289728447217985,0.0,0.853075117584982,0.4167929027564161,0.0,-1.3102633894895113,0.25575368803153126,0.0,-0.024221371838686563,-0.1289728447217985,0.0,0.853075117584982,0.4167929027564161,0.0,-1.3102633894895113,0.25575368803153126,0.0,0.18484862076902608,0.014949534000327485,0.0,0.5054588791294603,-0.777203154341737,0.0,-1.2626175441125993,-0.3300264525505357,0.0,-0.18484862076902608,-0.014949534000327485,0.0,0.5054588791294603,-0.777203154341737,0.0,-1.2626175441125993,-0.3300264525505357,0.0
135,0.025186553334477866,0.06970942912084643,0.0,0.8567188487020567,0.2155880486356178,0.0,-1.3082731429007608,0.13971090664126273,0.0,-0.025186553334477866,-0.06970942912084643,0.0,0.8567188487020567,0.2155880486356178,0.0,-1.3082731429007608,0.13971090664126273,0.0,0.18505049672790633,0.008166501781951375,0.0,0.49898320059677914,-0.4245637987599471,0.0,-1.2654906313593577,-0.18028398830264547,0.0,-0.18505049672790633,-0.008166501781951375,0.0,0.49898320059677914,-0.4245637987599471,0.0,-1.2654906313593577,-0.18028398830264547,0.0
