, ,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0,2.0000000000000013,0.2853457606094334,-0.1137173610582636,0,-3.682463751339863,0.3268888940373717,0.0869630105729749,0,1.214819071977676,-1.1580767318884693,-0.0932388880923247,0,2.338264680001184,0.0785040610784196,-0.0726651596445334,0,1.7673289558563696,0.8433114728139169,0.0302301127782675,0,-0.8751404141635334,-1.5229852414067198,-0.0396167690444888,0,1.780718631140679,0.0141874271576614,0.0881645424152549,0,1.559769616386603,-0.3610319794168625,-0.0266744439513907,0,-1.4927269076677672,1.5097975048900527,0.0018906910301471,0,-2.592483549090288,0.3676420343952137,0.0607045651505578,0,-3.739330152738529,-0.4454270659192199,-0.0629448331822004,0,0.5232552804289275,0.822966284947346,0.024706885906576,0,-0.7242326722655992
1,1,2.0040000000000013,0.2848775476225016,-0.1181637010931488,0,-3.680821899910074,0.3272991277890085,0.1077187917760342,0,1.2162228649254805,-1.1585163774404716,-0.1154503965249485,0,2.3387637441044715,0.0781794436581908,-0.0839629308518996,0,1.7656481373290582,0.8433898506982663,0.0160674820809069,0,-0.8748293985678542,-1.5231160720371877,-0.0304111272109704,0,1.7796484722488122,0.014482227866444,0.0689215950275341,0,1.5565406259953585,-0.36116106328449,-0.0341114305016416,0,-1.4942217230329788,1.5097670986512142,-0.0107512433273634,0,-2.591611602557682,0.3678530031011057,0.0501019074965673,0,-3.7378521735566337,-0.4456810611881918,-0.0636508771735142,0,0.5238977884557551,0.8231501522649042,0.0529623539373838,0,-0.7230266264911317
2,2,2.0080000000000013,0.284391870235428,-0.1225071161697867,0,-3.679029761578853,0.3277919569610978,0.1283380886274158,0,1.2172655492129054,-1.1590447042782277,-0.1376091035941747,0,2.339241510882745,0.077810163286728,-0.0950899491485986,0,1.7642499914635548,0.8434122374362042,0.0021199653409804,0,-0.8743921630906912,-1.523210560367572,-0.0213634789278529,0,1.7785996461068574,0.0147005907220959,0.0498529268215244,0,1.5536743794391292,-0.361319880609989,-0.0415457718841668,0,-1.4954151459137517,1.5096870223491907,-0.0230961290678891,0,-2.5906596058490345,0.3680216959260363,0.0395430067817572,0,-3.7362199432335688,-0.4459375396425598,-0.0642474484879012,0,0.5243658317336645,0.8234450552490308,0.0805654154643234,0,-0.7220656390004604
3,3,2.0120000000000013,0.2838890510202171,-0.1267769901120221,0,-3.677043753533416,0.3283667908154375,0.1488058484367499,0,1.2178983857578898,-1.1596614222487742,-0.1596885382579406,0,2.339680234681855,0.0773968395811942,-0.1060670924656536,0,1.7630835132935767,0.8433794438383965,-0.0116287757224651,0,-0.8738288270374088,-1.5232693038689011,-0.0124625567985996,0,1.777579904082116,0.0148432702296329,0.0309774784531677,0,1.5512002030709762,-0.3615083714374588,-0.04896106361729,0,-1.4963795642807254,1.5095583941286568,-0.0351674737894696,0,-2.589643042023265,0.3681483484091438,0.0290478614811506,0,-3.7344338075977497,-0.4461960968682137,-0.0647456941642755,0,0.524679366931615,0.8238484995620134,0.107554546049838,0,-0.7213408236010619
4,4,2.0160000000000013,0.2833693026994507,-0.1310002258814465,0,-3.674871517647056,0.3290229700030534,0.1691043472192373,0,1.218144628152708,-1.1603661271420844,-0.1816595791194428,0,2.340086273136675,0.076940004617843,-0.1169165382735686,0,1.7621045117898626,0.8432922190778769,-0.025193855793369,0,-0.8731290766783639,-1.5232928594229564,-0.0036985640572568,0,1.7766003165925992,0.0149110984521928,0.0123147759289838,0,1.5490432641948595,-0.3617264238659075,-0.0563453351413653,0,-1.4970807736349658,1.509382237677407,-0.0469888836637575,0,-2.588547659114833,0.3682332755956758,0.0186363087410986,0,-3.73244253103645,-0.4464563723211359,-0.0651564934703084,0,0.5248167543604434,0.8243581478117972,0.1339691555607372,0,-0.7208678460769009
5,5,2.0200000000000014,0.2828327315024908,-0.1352033642998676,0,-3.67257000635284,0.3297597723985631,0.1892185563690743,0,1.2180499843584556,-1.1611582994666274,-0.2034935628546774,0,2.3404708146519324,0.0764400989029199,-0.1276614051946372,0,1.7613756092026942,0.8431512542019012,-0.038589628985452,0,-0.872321786237562,-1.523281748178941,0.0049371656751476,0,1.7756562372878015,0.0149049722395148,-0.0061199732192516,0,1.547299748571504,-0.361973872859057,-0.0636849693387881,0,-1.4975191190657156,1.5091594736052831,-0.0585867873484749,0,-2.587369575524205,0.3682768729311461,0.0083284958085664,0,-3.7303208804438506,-0.4467180447028719,-0.0654893109533479,0,0.5247620457774262,0.8249718165485003,0.1598473984095071,0,-0.7206469191411291
6,6,2.0240000000000014,0.2822793391832323,-0.1394123424585183,0,-3.6701180847973767,0.3305764230134308,0.2091358007767156,0,1.2176122858842744,-1.162037309442748,-0.2251632960508295,0,2.3408354570045145,0.0758974854662592,-0.1383199257649412,0,1.7608563156111958,0.8429571893035319,-0.0518283229375642,0,-0.8713407291021776,-1.5232364643194318,0.0134507783034412,0,1.7747854202895483,0.0148258603765327,-0.024307984678444,0,1.5459305563826011,-0.36225050355786,-0.0709678712591469,0,-1.4977056226874703,1.508890921540574,-0.0699860076006548,0,-2.586109153786893,0.3682796062824319,-0.001858734474081,0,-3.728037331302037,-0.446980837207767,-0.0657556924173976,0,0.5245794868798663,0.8256874779477408,0.1852283105490125,0,-0.720648800455127
7,7,2.0280000000000014,0.2817090312897418,-0.1436506437599666,0,-3.6675268066416375,0.331472098607374,0.2288442816900522,0,1.2167892453727724,-1.163002419652539,-0.2466420231278032,0,2.3411629577336703,0.0753124514739518,-0.1489112744464484,0,1.7605415453776698,0.8427106221196873,-0.0649200525782803,0,-0.8702263865203993,-1.5231574777214696,0.0218483334692399,0,1.773973288078809,0.0146747942202044,-0.0422345719386781,0,1.5448919045863556,-0.3625560570163147,-0.078183379786691,0,-1.4976869834260018,1.508577299464947,-0.0812121147130032,0,-2.584776641323255,0.3682420068513611,-0.0119092453746137,0,-3.7255536147172497,-0.4472445097161426,-0.0659640847034825,0,0.5242020704547438,0.826503256491962,0.2101496195652505,0,-0.7209072971574589
8,8,2.0320000000000014,0.2811216241652881,-0.1479401884696281,0,-3.664788630311583,0.3324459264950185,0.2483315129608858,0,1.2156833371577758,-1.1640527881057845,-0.2679038273486351,0,2.3414939694324586,0.0746852122095404,-0.1594530444527955,0,1.760445209280139,0.8424121080987039,-0.0778754992493285,0,-0.8690196252595661,-1.5230452378933566,0.0301346322926796,0,1.7732058671254924,0.0144528564321908,-0.0598874593875213,0,1.5442229907056175,-0.3628902385888493,-0.0853231017832832,0,-1.497428712037305,1.5082192245778074,-0.092290146379509,0,-2.583361130501616,0.3681646690412803,-0.0218073670149687,0,-3.722884154361586,-0.4475088542858905,-0.0661223732282586,0,0.5236083430988103,0.8274174165881949,0.2346453863237972,0,-0.7214287425721897
9,9,2.0360000000000014,0.2805168534535649,-0.1523006017821117,0,-3.661949752322797,0.3334969990770605,0.2675899104020822,0,1.2142249687058564,-1.1651874751478983,-0.2889248225420983,0,2.3417998173129124,0.0740159188181328,-0.1699607883247905,0,1.7605664017259812,0.8420621603902396,-0.0907051914585245,0,-0.8676258389625393,-1.5229001786181613,0.0383133481384398,0,1.772532962383243,0.0141611797090044,-0.0772541121677915,0,1.5439119515640745,-0.363252718242198,-0.0923781019166962,0,-1.496955293333759,1.5078172164721335,-0.1032442733299089,0,-2.5818678776461805,0.3680482419953463,-0.0315400386205115,0,-3.720072991348024,-0.4477736945124378,-0.0662383941257539,0,0.5228432721303478,0.8284283541799431,0.2587480611843441,0,-0.7221855553002555
