t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qdd_fl1,qdd_fl2,qdd_fl3,qdd_fr1,qdd_fr2,qdd_fr3,qdd_bl1,qdd_bl2,qdd_bl3,qdd_br1,qdd_br2,qdd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,,,,,,,,,,,,,,,,,,,
0.025,0.16600115051304,-0.525004146605601,1.15651818012576,-0.166001007500139,-0.525004173525889,1.15651819880012,-0.166000980247511,0.542002823391168,-1.15901512387391,0.1660008042014,0.542002876900773,-1.15901519981983,4.53015041700486E-05,-0.000161982188845,0.000715777226186,-3.9672821443111E-05,-0.000163042137033,0.000716509901447,-3.86397517018832E-05,0.000110235078452,-0.000596205783486,3.17082978500557E-05,0.000112343633882,-0.000599197134404,3.48137129440259E-05,-0.000200176992917,0.000551282271059,-3.02091386656779E-05,-0.000201069174589,0.000552044577913,-2.68479309884894E-05,0.000136583398312,-0.000407703151558,2.126656119994E-05,0.000138261186071,-0.000410156351678,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0275,0.166001264840838,-0.52500455695162,1.15651998657252,-0.166001107617545,-0.525004586548234,1.15652000709985,-0.166001077705934,0.542003102665252,-1.15901662752177,0.166000884162459,0.542003161496876,-1.15901671101941,4.55112721671985E-05,-0.000162968670813,0.000719096537854,-3.98557187336495E-05,-0.000164033734109,0.000719833207078,-3.8809947525908E-05,0.000110908954423,-0.000598813079203,3.18457128822149E-05,0.000113027380939,-0.000601818663768,8.40351080707437E-06,-9.17250310440697E-05,0.000133440517628,-7.11349294942885E-06,-9.19951418512232E-05,0.000133744911301,-4.80079245119542E-06,6.22994619418852E-05,-6.82455333305592E-05,3.2756264635219E-06,6.27580831783383E-05,-6.89550961030358E-05,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.03,0.166001379032152,-0.525004967112617,1.15652179086347,-0.166001207614082,-0.525004999382799,1.15652181324246,-0.166001175035961,0.542003381809788,-1.15901812915618,0.166000964014597,0.542003445957565,-1.15901822019749,4.5758957119233E-05,-0.000164117292393,0.000723016119509,-4.00717579833554E-05,-0.000165188365969,0.000723757454211,-3.9011577717929E-05,0.000111694071137,-0.000601904115297,3.20087303560967E-05,0.000113824115105,-0.000604926437582,-2.17932462192039E-05,3.31432705706902E-05,-0.000344351158674,1.92913409478024E-05,3.35847059886873E-05,-0.000344572193626,2.03776822900181E-05,-2.32528769856799E-05,0.000319383798342,-1.72639590800827E-05,-2.41877104372179E-05,0.000320667982578,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0325,0.166001493088063,-0.525005376974086,1.15652359301128,-0.166001307490989,-0.525005411915063,1.15652361724033,-0.166001272242594,0.542003660743074,-1.15901962886074,0.166001043762798,0.542003730201255,-1.15901972743774,4.58511413394134E-05,-0.000164632762836,0.000724475611301,-4.01517993873095E-05,-0.000165706185975,0.000725218927284,-3.9083208384057E-05,0.000112045656081,-0.000602993195859,3.20656242158636E-05,0.000114180136006,-0.000606021990318,-3.64445124535357E-05,9.37822756210311E-05,-0.000576166053474,3.21027323120852E-05,9.45689714457556E-05,-0.000576642051389,3.25920287793028E-05,-6.47996233192582E-05,0.00050741656061,-2.72274714543439E-05,-6.64105743977534E-05,0.000509668134207,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.035,0.166001607008581,-0.525005786544698,1.15652539301652,-0.16600140724825,-0.525005824153701,1.15652541909407,-0.166001369325546,0.542003939471298,-1.15902112663065,0.166001123406763,0.542004014234132,-1.15902123273536,4.58017264060554E-05,-0.000164570564105,0.0007236948951,-4.01080036949933E-05,-0.000165643002981,0.000724437745803,-3.90364998673881E-05,0.000112001668306,-0.000602259946076,3.20259217886958E-05,0.000114134045326,-0.000605285864719,-3.69397053573108E-05,9.58244061797481E-05,-0.000583984096466,3.25358461548309E-05,9.66227924757134E-05,-0.000584468612489,3.30046494322501E-05,-6.61967870938181E-05,0.000513754848329,-2.75640051455133E-05,-6.78306792229317E-05,0.000516039183864,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0375,0.166001720793446,-0.525006195863919,1.15652719087675,-0.16600150688554,-0.525006236138185,1.15652721880133,-0.166001466283208,0.542004218022623,-1.15902262243902,0.166001202944872,0.54200429808432,-1.15902273606344,4.56764437137382E-05,-0.000164198871342,0.000721713913207,-3.99978567944887E-05,-0.000165268539716,0.000722454988042,-3.89263860702646E-05,0.000111745749754,-0.000600550321408,3.19344637475283E-05,0.000113872520259,-0.000603568355595,-2.98486081775847E-05,6.64715989143385E-05,-0.000471761875862,2.63352964187866E-05,6.7102940894462E-05,-0.000472122986421,2.70924133823118E-05,-4.60828796408975E-05,0.000422718350777,-2.27411092555384E-05,-4.73896431567237E-05,0.000424534600441,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.04,0.166001834442398,-0.525006604971214,1.15652898658955,-0.166001606402528,-0.525006647907988,1.15652901635978,-0.16600156311397,0.542004496425212,-1.15902411625895,0.166001282375505,0.542004581779945,-1.15902423739507,4.55410246570409E-05,-0.000163785859687,0.000719572607923,-3.98788445738773E-05,-0.000164852518909,0.000720311732275,-3.88078008950288E-05,0.000111461542367,-0.000598710277313,3.18360907652959E-05,0.000113582238,-0.000601719757756,-2.1741004161413E-05,3.29257904922997E-05,-0.000343455979873,1.92456970466992E-05,3.33661885179026E-05,-0.000343676282682,2.03321897629394E-05,-2.30964122920341E-05,0.000318626757235,-1.72263328863664E-05,-2.40290844431001E-05,0.000319907852827,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0425,0.166001947955251,-0.525007013897716,1.15653078015331,-0.166001705798973,-0.525007059494252,1.15653081176786,-0.166001659816582,0.542004774701284,-1.15902560806954,0.166001361697399,0.542004865343196,-1.15902573670934,4.54473100358146E-05,-0.000163543024201,0.000718091156692,-3.97963049111068E-05,-0.000164607656134,0.000718829051696,-3.87240697211728E-05,0.000111293874258,-0.000597407003531,3.17661679610589E-05,0.00011341042053,-0.000600410683257,-1.77983133595811E-05,1.66396966195508E-05,-0.00028105448443,1.57977077915694E-05,1.69873570764581E-05,-0.000281206848068,1.70434820745395E-05,-1.19365546946604E-05,0.00026798147114,-1.454315921526E-05,-1.26872367094221E-05,0.000269002449637,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.045,0.166002061332108,-0.525007422641235,1.15653257156967,-0.166001805074975,-0.525007470894784,1.15653260502721,-0.166001756391225,0.542005052849276,-1.15902709787376,0.166001440910725,0.542005148772519,-1.15902723400923,4.5391578270997E-05,-0.000163455139619,0.000717210677537,-3.97469836435879E-05,-0.000164518638355,0.000717947999174,-3.86720838367882E-05,0.000111232318223,-0.000596592626918,3.17221582383784E-05,0.000113346468965,-0.000599593013142,-1.76485030377939E-05,1.6069149155698E-05,-0.000278671416334,1.56661716474128E-05,1.64134679586363E-05,-0.000278821978575,1.69163312853387E-05,-1.15451097597875E-05,0.000266010752569,-1.4438807720743E-05,-1.22887951166107E-05,0.000267022058382,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
0.0475,0.166002174573147,-0.525007831191248,1.15653436084109,-0.166001904230723,-0.525007882099061,1.15653439614027,-0.166001852838438,0.542005330861682,-1.15902858568061,0.166001520016009,0.542005432060423,-1.15902872930375,4.53562171887978E-05,-0.000163450300594,0.000716652523626,-3.97154785985969E-05,-0.000164513145382,0.000717389622495,-3.86371260071166E-05,0.00011122763323,-0.00059604050861,3.16920489469407E-05,0.000113340329206,-0.000599038945702,-1.95311772654862E-05,2.39207589987692E-05,-0.000308452290109,1.73119774184983E-05,2.43095924674668E-05,-0.000308636207499,1.84834127305188E-05,-1.69245387143215E-05,0.000290124575756,-1.57164319566547E-05,-1.7755070208977E-05,0.000291260386298,0.737558247896623,3.01471955886771,0.964726158568275,-0.738594075821914,3.02520723466056,0.964684346922326,5.23098110408292,3.48583083764446,1.71592285831456,-5.22097990529866,3.45618978233489,1.70528913209211,,,,,,,,,,,,,,,,,,,
