,t[s],q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
10,0.025,0,0,0,-1.17289276298115,1.58337878234155,-0.180359219517823,2.39635453748211,-0.431424443208022,7.96299591274421,0,0,0,-1.17289276298115,1.58337878234155,-0.180359219517823,2.39635453748211,-0.431424443208022,7.96299591274421,0,0,0,1.1735597914773,-1.51211301928951,9.32726952649682,-2.397833927708,0.269626167634074,10.4192792366783,0,0,0,1.1735597914773,-1.51211301928951,9.32726952649682,-2.397833927708,0.269626167634074,10.4192792366783
11,0.0275,0,0,0,-1.16859555981944,1.69768103832472,-0.18832022262982,2.39501699410707,-0.513920238588235,8.96299591274421,0,0,0,-1.16859555981944,1.69768103832472,-0.18832022262982,2.39501699410707,-0.513920238588235,8.96299591274421,0,0,0,1.16946176858233,-1.62001543794499,10.3272695264968,-2.3969587969073,0.334446658120941,11.4192792366783,0,0,0,1.16946176858233,-1.62001543794499,10.3272695264968,-2.3969587969073,0.334446658120941,11.4192792366783
12,0.03,0,0,0,-1.16406468100432,1.79622723377596,-0.21864399661657,2.39347216716709,-0.597584459424533,9.96299591274421,0,0,0,-1.16406468100432,1.79622723377596,-0.21864399661657,2.39347216716709,-0.597584459424533,9.96299591274421,0,0,0,1.16515545454396,-1.70887819948914,11.3272695264968,-2.39594444663549,0.39221306778448,12.4192792366783,0,0,0,1.16515545454396,-1.70887819948914,11.3272695264968,-2.39594444663549,0.39221306778448,12.4192792366783
13,0.0325,0,0,0,-1.15933177808357,1.88099622676912,-0.233305618325906,2.39173311630134,-0.677406670040712,10.9629959127442,0,0,0,-1.15933177808357,1.88099622676912,-0.233305618325906,2.39173311630134,-0.677406670040712,10.9629959127442,0,0,0,1.16067082667667,-1.78380610651995,12.3272695264968,-2.39480265299946,0.44477417511281,13.4192792366783,0,0,0,1.16067082667667,-1.78380610651995,12.3272695264968,-2.39480265299946,0.44477417511281,13.4192792366783
14,0.035,0,0,0,-1.15442137340562,1.95507620357537,-0.2553454047515,2.38981898576978,-0.750131395580667,11.9629959127442,0,0,0,-1.15442137340562,1.95507620357537,-0.2553454047515,2.38981898576978,-0.750131395580667,11.9629959127442,0,0,0,1.15602903974247,-1.84931571329586,13.3272695264968,-2.39354740952113,0.4921149765943,14.4192792366783,0,0,0,1.15602903974247,-1.84931571329586,13.3272695264968,-2.39354740952113,0.4921149765943,14.4192792366783
15,0.0375,0,0,0,-1.14935277226399,2.0209234223118,-0.356623269223996,2.38775501055341,-0.81340895744258,12.9629959127442,0,0,0,-1.14935277226399,2.0209234223118,-0.356623269223996,2.38775501055341,-0.81340895744258,12.9629959127442,0,0,0,1.15124580913676,-1.90800173999084,14.3272695264968,-2.39219810332006,0.532255937511136,15.4192792366783,0,0,0,1.15124580913676,-1.90800173999084,14.3272695264968,-2.39219810332006,0.532255937511136,15.4192792366783
16,0.04,0,0,0,-1.14415132233504,2.07741410825346,-0.380740313118455,2.38558017976413,-0.862767509577573,13.9629959127442,0,0,0,-1.14415132233504,2.07741410825346,-0.380740313118455,2.38558017976413,-0.862767509577573,13.9629959127442,0,0,0,1.1463412459227,-1.95922448017353,15.3272695264968,-2.39078324068441,0.56209394721661,16.4192792366783,0,0,0,1.1463412459227,-1.95922448017353,15.3272695264968,-2.39078324068441,0.56209394721661,16.4192792366783
17,0.0425,0,0,0,-1.13883687051484,2.12491017030104,-0.243833429315792,2.38331036084852,-0.901934116613833,14.9629959127442,0,0,0,-1.13883687051484,2.12491017030104,-0.243833429315792,2.38331036084852,-0.901934116613833,14.9629959127442,0,0,0,1.1413429620095,-2.00027771706424,16.3272695264968,-2.38933985947878,0.577988533917939,17.4192792366783,0,0,0,1.1413429620095,-2.00027771706424,16.3272695264968,-2.38933985947878,0.577988533917939,17.4192792366783
18,0.045,0,0,0,-1.13341496349935,2.16863589696453,-0.149894869210149,2.38091234575195,-0.949235773725695,15.9629959127442,0,0,0,-1.13341496349935,2.16863589696453,-0.149894869210149,2.38091234575195,-0.949235773725695,15.9629959127442,0,0,0,1.1362873155285,-2.02759944672367,17.3272695264968,-2.38791277328497,0.576648527096992,18.4192792366783,0,0,0,1.1362873155285,-2.02759944672367,17.3272695264968,-2.38791277328497,0.576648527096992,18.4192792366783
19,0.0475,0,0,0,-1.12789559007465,2.20913750586313,-0.154175367806256,2.37838429812628,-1.002216652712,16.9629959127442,0,0,0,-1.12789559007465,2.20913750586313,-0.154175367806256,2.37838429812628,-1.002216652712,16.9629959127442,0,0,0,1.13119498073562,-2.04433748563834,18.3272695264968,-2.38653221933203,0.561042769004149,19.4192792366783,0,0,0,1.13119498073562,-2.04433748563834,18.3272695264968,-2.38653221933203,0.561042769004149,19.4192792366783
