,Unnamed: 0,q_fl1,qd_fl1,Tau_fl1,q_fl2,qd_fl2,Tau_fl2,q_fl3,qd_fl3,Tau_fl3,q_fr1,qd_fr1,Tau_fr1,q_fr2,qd_fr2,Tau_fr2,q_fr3,qd_fr3,Tau_fr3,q_bl1,qd_bl1,Tau_bl1,q_bl2,qd_bl2,Tau_bl2,q_bl3,qd_bl3,Tau_bl3,q_br1,qd_br1,Tau_br1,q_br2,qd_br2,Tau_br2,q_br3,qd_br3,Tau_br3
10,10,0.0267854133840078,0.0868634788705998,0.0,-0.8962707724157494,-1.6725887518803872,-0.0,1.290632060405443,-0.8628130023745659,-0.0,-0.0773949371174601,0.1755474302806433,0.0,-0.9316778527044598,2.023104121486731,-0.0,1.272840335390144,1.0928780332986887,-0.0,-0.1829293030961092,0.0939166419094623,-0.0,0.4433438595986513,-1.8428116442587232,0.0,-1.2850689097349597,-0.6615397930154602,0.0,0.1214711942327063,0.1871170138162063,-0.0,0.4430352504894476,1.679530333165911,0.0,-1.2134945337058125,0.0382394807653613,0.0
11,11,0.0268849242639357,0.0882144208959427,0.0,-0.9001287331336437,-1.6775753148670831,-0.0,1.2888099994146465,-0.8810223445530768,-0.0,-0.0773033297253886,0.1791663813631283,0.0,-0.926422535003789,2.0159096245379877,-0.0,1.2757298003080106,1.0908999269497484,-0.0,-0.1826924623184158,0.0939177508338342,-0.0,0.4385676726455358,-1.8407350798291648,0.0,-1.286729458210562,-0.6617276444748869,0.0,0.1214666013933778,0.1933569292934286,-0.0,0.4473222591762846,1.6747928414451718,0.0,-1.213505297312334,0.047087684363449,0.0
12,12,0.0269876994940414,0.0884997773228607,0.0,-0.90403390560731,-1.6785827144717602,-0.0,1.2869474309927296,-0.8981791227165677,-0.0,-0.0772026678810294,0.179969655716841,0.0,-0.9211931429624548,2.009409153745691,-0.0,1.2785983294068255,1.090469421395615,-0.0,-0.1824545420255552,0.0938137945845102,-0.0,0.4338102451900101,-1.8402376377844585,0.0,-1.288391732098174,-0.6617707796855838,0.0,0.1214704624124233,0.1948631835370091,-0.0,0.4516004788640184,1.669930499208078,0.0,-1.213506837182465,0.0562494737899738,0.0
13,13,0.0271242655127932,0.0874547356053736,0.0,-0.908049931022842,-1.6736492788651762,-0.0,1.285005634165055,-0.9149692949393112,-0.0,-0.0770097877666267,0.1780809158582814,0.0,-0.9159954900305728,2.003657898573828,-0.0,1.2814310546452323,1.09170249775773,-0.0,-0.1821913926692009,0.0910046099694552,-0.0,0.4290821745907075,-1.840465280501168,0.0,-1.290057049315703,-0.6617064743397595,0.0,0.1215873563192527,0.1944482337080527,-0.0,0.4558772092896487,1.6646892659633916,0.0,-1.2134836961887785,0.0676382704475285,0.0
14,14,0.0273024162009043,0.0851806953661836,0.0,-0.9121864771069844,-1.6629139839012568,-0.0,1.282973782450884,-0.9315929561755046,-0.0,-0.0767031117526416,0.1739709646784812,0.0,-0.9108297519533832,1.998561267291053,-0.0,1.2842268571099529,1.0943857066847256,-0.0,-0.1819003800008443,0.0848645097860756,-0.0,0.4243843553465272,-1.8409606374704568,0.0,-1.291725560481079,-0.6615665440943418,0.0,0.1218476470641156,0.1935452911819297,-0.0,0.4601533207418508,1.6589428068814729,0.0,-1.2134306362881104,0.0815550407079766,0.0
15,15,0.0275144173478592,0.0819412579595277,0.0,-0.9164195746520828,-1.647621239525726,-0.0,1.2808607386243596,-0.9479027012154264,-0.0,-0.0763023782001073,0.1681162179761465,0.0,-0.9056929207645922,1.9939793295924009,-0.0,1.2869926551958433,1.0982080169579498,-0.0,-0.181591796184382,0.076068254061868,-0.0,0.4197119685048566,-1.8416662880866197,0.0,-1.2933967118535612,-0.6613672093316948,0.0,0.1222292103618618,0.192259022915971,-0.0,0.4644257878378449,1.652685280719043,0.0,-1.213350135386652,0.0972910475880659,0.0
16,16,0.0277525347431421,0.0780000247396431,0.0,-0.9207252544504828,-1.6290154556843073,-0.0,1.2786753654596257,-0.963751124849356,-0.0,-0.0758273254700567,0.1609930915499837,0.0,-0.900581988497906,1.989772155172902,-0.0,1.2897353672977594,1.1028583973587518,-0.0,-0.1812759333837101,0.0652906028243293,-0.0,0.4150601951130829,-1.842524811743949,0.0,-1.2950699496924112,-0.6611246904341824,0.0,0.1227099219273411,0.1906940958675076,-0.0,0.468691585194851,1.6459108462328225,0.0,-1.2132446713905949,0.1141375541045441,0.0
17,17,0.0280090341762375,0.073620597060767,0.0,-0.92507954729453,-1.6083410423227245,-0.0,1.276426525730824,-0.9789908218675716,-0.0,-0.0752976919235232,0.1530780011986989,0.0,-0.895493947187031,1.985799813727588,-0.0,1.2924619118105578,1.1080258166684809,-0.0,-0.180963083762725,0.053206316100956,-0.0,0.4104242162185936,-1.843478787836739,0.0,-1.2967447202568885,-0.6608552077841691,0.0,0.1232676574754035,0.1889551769938706,-0.0,0.4729476874300894,1.6386136621795315,0.0,-1.2131167222061292,0.1313858232741589,0.0
18,18,0.0282761814366297,0.0690665762771364,0.0,-0.92945848397657,-1.5868424093867013,-0.0,1.274123082212099,-0.9934743870603528,-0.0,-0.0747332159215397,0.1448473627209983,0.0,-0.8904257888656734,1.9819223749514912,-0.0,1.2951792071290944,1.1133992436684848,-0.0,-0.1806635394853231,0.0404901539192449,-0.0,0.4057992128687761,-1.8444707957592823,0.0,-1.2984204698062534,-0.6605749817640183,0.0,0.1238802927208986,0.1871469332523909,-0.0,0.4771910691607799,1.6307878873158916,0.0,-1.212968765739447,0.1483271181136582,0.0
19,19,0.0285462423138029,0.0646015637429884,0.0,-0.933838095288948,-1.5657639668219616,-0.0,1.2717738976775936,-1.0070544152179777,-0.0,-0.0741536358251394,0.1367775919155881,0.0,-0.8853745055675389,1.977999908539643,-0.0,1.297894171648226,1.1186676471401131,-0.0,-0.1803875927154007,0.0278168763066928,-0.0,0.4011803661110176,-1.845443414905873,0.0,-1.3000966445997664,-0.6603002327560944,0.0,0.1245257033786763,0.1853740316003997,-0.0,0.4814187050041426,1.622427680398623,0.0,-1.212803279896739,0.1642527016397894,0.0
