t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0,0,-1.34242930980087,2.44273564739126,0,-1.34242930980087,2.44273564739126,0,1.11319042751898,-2.21398701716054,0,1.11319042751898,-2.21398701716054,0,-0.83638804556366,1.49844527193623,0,-0.83638804556366,1.49844527193623,0,0.47168872254725,-1.11074050280633,0,0.47168872254725,-1.11074050280633,0,0.420412476737527,-0.9248865839596,0,0.420412476737527,-0.9248865839596,0,-0.549195781631339,1.03751636833581,0,-0.549195781631339,1.03751636833581
0.0025,0,-1.3446516522241,2.44593130954812,0,-1.3446516522241,2.44593130954812,0,1.11444768546973,-2.21611130545436,0,1.11444768546973,-2.21611130545436,0,-0.870034608539743,1.38890665452904,0,-0.870034608539743,1.38890665452904,0,0.492845726126186,-0.979687140197417,0,0.492845726126186,-0.979687140197417,0,1.14680806152805,-1.86967961292373,0,1.14680806152805,-1.86967961292373,0,1.05485410572762,3.26566473447448,0,1.05485410572762,3.26566473447448
0.005,0,-1.34697708994543,2.4489235689439,0,-1.34697708994543,2.4489235689439,0,1.11580386061762,-2.21809549323942,0,1.11580386061762,-2.21809549323942,0,-0.905066995531371,1.29145428240142,0,-0.905066995531371,1.29145428240142,0,0.518808055321226,-0.876326691257712,0,0.518808055321226,-0.876326691257712,0,1.45643394084404,-2.3428831781968,0,1.45643394084404,-2.3428831781968,0,1.81788675959592,4.32218271561406,0,1.81788675959592,4.32218271561406
0.0075,0,-1.34938271483039,2.45172241825845,0,-1.34938271483039,2.45172241825845,0,1.11722375887297,-2.2199043667806,0,1.11722375887297,-2.2199043667806,0,-0.938896086137496,1.20413014895037,0,-0.938896086137496,1.20413014895037,0,0.544946927976014,-0.79046036427773,0,0.544946927976014,-0.79046036427773,0,1.48402294885362,-2.46694609420279,0,1.48402294885362,-2.46694609420279,0,1.99636605219711,4.5458139756711,0,1.99636605219711,4.5458139756711
0.01,0,-1.35184561874446,2.4543378501716,0,-1.35184561874446,2.4543378501716,0,1.11867218614609,-2.22150271234279,0,1.11867218614609,-2.22150271234279,0,-0.968932759957069,1.12497624757291,0,-0.968932759957069,1.12497624757291,0,0.566633561934194,-0.711889367547987,0,0.566633561934194,-0.711889367547987,0,1.36430791972491,-2.36431717536565,0,1.36430791972491,-2.36431717536565,0,1.84675585575477,4.27530217856215,0,1.84675585575477,4.27530217856215
0.0125,0,-1.35434289355315,2.45677985736321,0,-1.35434289355315,2.45677985736321,0,1.12011394834731,-2.2228553161909,0,1.12011394834731,-2.2228553161909,0,-0.992587896589042,1.05203457166604,0,-0.992587896589042,1.05203457166604,0,0.579239175039406,-0.630414909358999,0,0.579239175039406,-0.630414909358999,0,1.23202168762603,-2.15744523610937,0,1.23202168762603,-2.15744523610937,0,1.62552004249246,3.84939098820376,0,1.62552004249246,3.84939098820376
0.015,0,-1.35685185010948,2.45905839918722,0,-1.35685185010948,2.45905839918722,0,1.12151405322078,-2.22392703411225,0,1.12151405322078,-2.22392703411225,0,-1.00731610813677,0.983352052133538,0,-1.00731610813677,0.983352052133538,0,0.578186344825204,-0.535898298876843,0,0.578186344825204,-0.535898298876843,0,1.22038747812864,-1.96835567115688,0,1.22038747812864,-1.96835567115688,0,1.5865329056544,3.60424545477064,0,1.5865329056544,3.60424545477064
0.0175,0,-1.35936887855463,2.46118053147922,0,-1.35936887855463,2.46118053147922,0,1.12285509328384,-2.22468877903761,0,1.12285509328384,-2.22468877903761,0,-1.01438220115006,0.917405800156927,0,-1.01438220115006,0.917405800156927,0,0.563372361808415,-0.42343713405096,0,0.563372361808415,-0.42343713405096,0,1.33110386783794,-1.88218343377986,0,1.33110386783794,-1.88218343377986,0,1.75805166991134,3.65136890618173,0,1.75805166991134,3.65136890618173
0.02,0,-1.36192398361487,2.46314819455036,0,-1.36192398361487,2.46314819455036,0,1.12415064254807,-2.2251221355938,0,1.12415064254807,-2.2251221355938,0,-1.02176392160517,0.853430834207616,0,-1.02176392160517,0.853430834207616,0,0.542578228906818,-0.297354497229599,0,0.542578228906818,-0.297354497229599,0,1.33414451380278,-1.91906855314358,0,1.33414451380278,-1.91906855314358,0,1.77083318660813,3.70644746098716,0,1.77083318660813,3.70644746098716
0.0225,0,-1.36454875700109,2.46496269460121,0,-1.36454875700109,2.46496269460121,0,1.12541681682837,-2.22521151713228,0,1.12541681682837,-2.22521151713228,0,-1.03774678954918,0.790730463945105,0,-1.03774678954918,0.790730463945105,0,0.524183939540373,-0.163080333515739,0,0.524183939540373,-0.163080333515739,0,0.983807655408174,-2.09090577833483,0,0.983807655408174,-2.09090577833483,0,1.22777655690698,3.45347612686966,0,1.22777655690698,3.45347612686966
0.025,0,-1.36721417752095,2.4666215916477,0,-1.36721417752095,2.4666215916477,0,1.12664951821572,-2.22499890194033,0,1.12664951821572,-2.22499890194033,0,-1.05820938765942,0.728315378254943,0,-1.05820938765942,0.728315378254943,0,0.509846296382664,-0.031587759274235,0,0.509846296382664,-0.031587759274235,0,0.295787726742743,-2.35576105299249,0,0.295787726742743,-2.35576105299249,0,0.148193617578141,2.86055947198787,0,0.148193617578141,2.86055947198787
0.0275,0,-1.36981817592051,2.46811793096526,0,-1.36981817592051,2.46811793096526,0,1.12782028809126,-2.2245956430877,0,1.12782028809126,-2.2245956430877,0,-1.06407799180548,0.664843612063046,0,-1.06407799180548,0.664843612063046,0,0.493119602048569,0.079469717755029,0,0.493119602048569,0.079469717755029,0,-0.399197397178302,-2.60682816172356,0,-0.399197397178302,-2.60682816172356,0,-0.946761091941238,2.23819867606064,0,-0.946761091941238,2.23819867606064
0.03,0,-1.37225844121751,2.46944473980709,0,-1.37225844121751,2.46944473980709,0,1.12890038373521,-2.2241126938815,0,1.12890038373521,-2.2241126938815,0,-1.03659195619106,0.599031226992112,0,-1.03659195619106,0.599031226992112,0,0.467458933015498,0.15323680060941,0,0.467458933015498,0.15323680060941,0,-0.769337358897977,-2.73923643073887,0,-0.769337358897977,-2.73923643073887,0,-1.53383617582397,1.90086036562017,0,-1.53383617582397,1.90086036562017
0.0325,0,-1.37450165021057,2.47059925744998,0,-1.37450165021057,2.47059925744998,0,1.12988065113055,-2.22358491808295,0,1.12988065113055,-2.22358491808295,0,-0.977201679470969,0.530921605797006,0,-0.977201679470969,0.530921605797006,0,0.43275517679171,0.192946030350264,0,0.43275517679171,0.192946030350264,0,-0.779494950872204,-2.74549839565852,0,-0.779494950872204,-2.74549839565852,0,-1.55640230623398,1.88722167008037,0,-1.55640230623398,1.88722167008037
0.035,0,-1.37657172351281,2.47158221817072,0,-1.37657172351281,2.47158221817072,0,1.13076819032804,-2.22298404282544,0,1.13076819032804,-2.22298404282544,0,-0.904128026951556,0.461659499092956,0,-0.904128026951556,0.461659499092956,0,0.394239447340838,0.218498182008628,0,0.394239447340838,0.218498182008628,0,-0.640702686228942,-2.69893200865434,0,-0.640702686228942,-2.69893200865434,0,-1.34501795500802,2.00711857333922,0,-1.34501795500802,2.00711857333922
0.0375,0,-1.3784922331908,2.4723943969104,0,-1.3784922331908,2.4723943969104,0,1.13157001417979,-2.22228229303124,0,1.13157001417979,-2.22228229303124,0,-0.83466678749214,0.392341615741132,0,-0.83466678749214,0.392341615741132,0,0.356893589985769,0.248721682389839,0,0.356893589985769,0.248721682389839,0,-0.554626142515952,-2.6695053938337,0,-0.554626142515952,-2.6695053938337,0,-1.21561713333029,2.07865958092906,0,-1.21561713333029,2.07865958092906
0.04,0,-1.38026630498435,2.47303592881138,0,-1.38026630498435,2.47303592881138,0,1.13228744553607,-2.22147555841187,0,1.13228744553607,-2.22147555841187,0,-0.772038878826145,0.323265196107896,0,-0.772038878826145,0.323265196107896,0,0.321662647941967,0.286953689459959,0,0.321662647941967,0.286953689459959,0,-0.557708299193911,-2.67024940483634,0,-0.557708299193911,-2.67024940483634,0,-1.22532773671038,2.06927139280806,0,-1.22532773671038,2.06927139280806
0.0425,0,-1.38188545951132,2.47350658587297,0,-1.38188545951132,2.47350658587297,0,1.13291857766147,-2.22057316056658,0,1.13291857766147,-2.22057316056658,0,-0.711476468544692,0.254273710575176,0,-0.711476468544692,0.254273710575176,0,0.287200417626135,0.327738678464384,0,0.287200417626135,0.327738678464384,0,-0.592613511239184,-2.68187789406754,0,-0.592613511239184,-2.68187789406754,0,-1.28438200705426,2.03113215967935,0,-1.28438200705426,2.03113215967935
0.045,0,-1.38334205224096,2.47380613304594,0,-1.38334205224096,2.47380613304594,0,1.13346173484712,-2.21958346110691,0,1.13346173484712,-2.21958346110691,0,-0.648767354498144,0.185222273137046,0,-0.648767354498144,0.185222273137046,0,0.252317037068417,0.366259483026171,0,0.252317037068417,0.366259483026171,0,-0.608701325964652,-2.68734046792527,0,-0.608701325964652,-2.68734046792527,0,-1.31349682943254,2.01031926582235,0,-1.31349682943254,2.01031926582235
0.0475,0,-1.38463441277965,2.47393431750509,0,-1.38463441277965,2.47393431750509,0,1.13391689587777,-2.21850794585944,0,1.13391689587777,-2.21850794585944,0,-0.583694157993289,0.11606999570724,0,-0.583694157993289,0.11606999570724,0,0.216949769845269,0.402261244645899,0,0.216949769845269,0.402261244645899,0,-0.603291896630311,-2.68567333259736,0,-0.603291896630311,-2.68567333259736,0,-1.3084979396715,2.0092572868137,0,-1.3084979396715,2.0092572868137
0.05,0,-1.38576314744918,2.47389087965082,0,-1.38576314744918,2.47389087965082,0,1.13428467005783,-2.21734548032159,0,1.13428467005783,-2.21734548032159,0,-0.517561908675898,0.046815623315165,0,-0.517561908675898,0.046815623315165,0,0.181465421751851,0.437227778793975,0,0.181465421751851,0.437227778793975,0,-0.591982936752081,-2.68204322142334,0,-0.591982936752081,-2.68204322142334,0,-1.29383470164235,2.01373491914456,0,-1.29383470164235,2.01373491914456
0.0525,0,-1.38672849330254,2.4736755421132,0,-1.38672849330254,2.4736755421132,0,1.13456555710459,-2.21609539444078,0,1.13456555710459,-2.21609539444078,0,-0.451407609934867,-0.022544456958236,0,-0.451407609934867,-0.022544456958236,0,0.146154409106497,0.472332663598694,0,0.146154409106497,0.472332663598694,0,-0.587103614445018,-2.68053033917971,0,-0.587103614445018,-2.68053033917971,0,-1.28883380950173,2.01251816590297,0,-1.28883380950173,2.01251816590297
0.055,0,-1.38752919239068,2.47328795649419,0,-1.38752919239068,2.47328795649419,0,1.13475961342205,-2.21475889659699,0,1.13475961342205,-2.21475889659699,0,-0.385184172664358,-0.092023601897652,0,-0.385184172664358,-0.092023601897652,0,0.110998208098055,0.507494837473694,0,0.110998208098055,0.507494837473694,0,-0.587764998423442,-2.68082050452343,0,-0.587764998423442,-2.68082050452343,0,-1.29210589565009,2.00641324773848,0,-1.29210589565009,2.00641324773848
0.0575,0,-1.38816361344757,2.47272775662317,0,-1.38816361344757,2.47272775662317,0,1.13486678468383,-2.21333766439527,0,1.13486678468383,-2.21333766439527,0,-0.318573700645981,-0.161637598692674,0,-0.318573700645981,-0.161637598692674,0,0.075901120492972,0.542319824390103,0,0.075901120492972,0.542319824390103,0,-0.589776216348176,-2.68150181017798,0,-0.589776216348176,-2.68150181017798,0,-1.29708662459154,1.99923408939115,0,-1.29708662459154,1.99923408939115
0.06,0,-1.3886303454381,2.47199456840326,0,-1.3886303454381,2.47199456840326,0,1.13488706633639,-2.21183318083407,0,1.13488706633639,-2.21183318083407,0,-0.251368031315915,-0.231399409288787,0,-0.251368031315915,-0.231399409288787,0,0.040798237924076,0.576537855286755,0,0.040798237924076,0.576537855286755,0,-0.59025896459539,-2.68160461183588,0,-0.59025896459539,-2.68160461183588,0,-1.29926781252811,1.99360066326787,0,-1.29926781252811,1.99360066326787
0.0625,0,-1.38892855521664,2.47108799693911,0,-1.38892855521664,2.47108799693911,0,1.13482058443075,-2.21024641826109,0,1.13482058443075,-2.21024641826109,0,-0.183646944948009,-0.301314582146455,0,-0.183646944948009,-0.301314582146455,0,0.005705445118451,0.610206394149631,0,0.005705445118451,0.610206394149631,0,-0.589779140520711,-2.68131977018519,0,-0.589779140520711,-2.68131977018519,0,-1.29953665009757,1.98899999205086,0,-1.29953665009757,1.98899999205086
0.065,0,-1.38905750347499,2.47000764372929,0,-1.38905750347499,2.47000764372929,0,1.13466748603083,-2.20857826697766,0,1.13466748603083,-2.20857826697766,0,-0.115536416167199,-0.371387481102006,0,-0.115536416167199,-0.371387481102006,0,-0.029348415822594,0.643435402569474,0,-0.029348415822594,0.643435402569474,0,-0.589455207237424,-2.68102434561233,0,-0.589455207237424,-2.68102434561233,0,-1.29964587466608,1.98441647381592,0,-1.29964587466608,1.98441647381592
0.0675,0,-1.38901646797864,2.46875308972319,0,-1.38901646797864,2.46875308972319,0,1.13442790510211,-2.20682967824675,0,1.13442790510211,-2.20682967824675,0,-0.04712198896155,-0.441623921560813,0,-0.04712198896155,-0.441623921560813,0,-0.064346210653998,0.676288891965291,0,-0.064346210653998,0.676288891965291,0,-0.589923449703156,-2.68093429365158,0,-0.589923449703156,-2.68093429365158,0,-1.3005882760086,1.97927363102889,0,-1.3005882760086,1.97927363102889
0.07,0,-1.38880475657407,2.46732387966589,0,-1.38880475657407,2.46732387966589,0,1.13410195253275,-2.20500171073591,0,1.13410195253275,-2.20500171073591,0,0.021582024850281,-0.512032276355481,0,0.021582024850281,-0.512032276355481,0,-0.099291432458486,0.708749917069014,0,-0.099291432458486,0.708749917069014,0,-0.590970633829411,-2.68098172943772,0,-0.590970633829411,-2.68098172943772,0,-1.30201774053992,1.97376865150845,0,-1.30201774053992,1.97376865150845
0.0725,0,-1.38842168386503,2.46571955381504,0,-1.38842168386503,2.46571955381504,0,1.13368973725844,-2.20309543301992,0,1.13368973725844,-2.20309543301992,0,0.0905681340581,-0.582621178640385,0,0.0905681340581,-0.582621178640385,0,-0.13418954410763,0.740793766433422,0,-0.13418954410763,0.740793766433422,0,-0.592301938507457,-2.68107110157842,0,-0.592301938507457,-2.68107110157842,0,-1.30346018164637,1.96817272070987,0,-1.30346018164637,1.96817272070987
0.075,0,-1.38786668653636,2.46393962592852,0,-1.38786668653636,2.46393962592852,0,1.1331913813176,-2.20111187979049,0,1.1331913813176,-2.20111187979049,0,0.159814634154918,-0.653399261481905,0,0.159814634154918,-0.653399261481905,0,-0.169041717013678,0.772411405543226,0,-0.169041717013678,0.772411405543226,0,-0.593783988815172,-2.68114736280568,0,-0.593783988815172,-2.68114736280568,0,-1.30471624852752,1.96259993482248,0,-1.30471624852752,1.96259993482248
0.0775,0,-1.38713934839977,2.46198357782777,0,-1.38713934839977,2.46198357782777,0,1.13260702253944,-2.1990520449049,0,1.13260702253944,-2.1990520449049,0,0.229282691380316,-0.724375157840372,0,0.229282691380316,-0.724375157840372,0,-0.203843950706847,0.803612693046614,0,-0.203843950706847,0.803612693046614,0,-0.595477977824392,-2.68120427967851,0,-0.595477977824392,-2.68120427967851,0,-1.30591769015784,1.95697507281484,0,-1.30591769015784,1.95697507281484
0.08,0,-1.38623926765997,2.4598508883909,0,-1.38623926765997,2.4598508883909,0,1.13193679932555,-2.19691692057127,0,1.13193679932555,-2.19691692057127,0,0.298932894928228,-0.795557379687961,0,0.298932894928228,-0.795557379687961,0,-0.238592123077713,0.834408160848102,0,-0.238592123077713,0.834408160848102,0,-0.597454488165291,-2.68124125703398,0,-0.597454488165291,-2.68124125703398,0,-1.30720655160117,1.95121605470831,0,-1.30720655160117,1.95121605470831
0.0825,0,-1.38516613715223,2.45754101899339,0,-1.38516613715223,2.45754101899339,0,1.13118084390043,-2.19470751213156,0,1.13118084390043,-2.19470751213156,0,0.368733270682415,-0.866952406879966,0,0.368733270682415,-0.866952406879966,0,-0.273285240733069,0.864800756291099,0,-0.273285240733069,0.864800756291099,0,-0.599747249711854,-2.68130359133451,0,-0.599747249711854,-2.68130359133451,0,-1.30856672027192,1.94531490886568,0,-1.30856672027192,1.94531490886568
0.085,0,-1.38391972823315,2.45505341648763,0,-1.38391972823315,2.45505341648763,0,1.13033928336306,-2.19242483582577,0,1.13033928336306,-2.19242483582577,0,0.43865801524973,-0.938565033087257,0,0.43865801524973,-0.938565033087257,0,-0.307924906386554,0.894787133297147,0,-0.307924906386554,0.894787133297147,0,-0.602359413120836,-2.68147465841908,0,-0.602359413120836,-2.68147465841908,0,-1.30985084951637,1.93932515633865,0,-1.30985084951637,1.93932515633865
