time,q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0,0,0.437344578171249,-1.81592151707607,0,0.437344578171249,-1.81592151707607,0,1.18265238457163,-2.47397187289193,0,1.18265238457163,-2.47397187289193,0,-4.35095161517785E-26,-5.74448705129105E-28,0,-4.35095161517785E-26,-5.74448705129105E-28,0,2.27529354842853E-26,2.43141355602546E-27,0,2.27529354842853E-26,2.43141355602546E-27,0,-0.460789949702571,0.796788607228131,0,-0.460789949702571,0.796788607228131,0,-2.93610038659156,3.42714937671286,0,-2.93610038659156,3.42714937671286
0.010204081632653,0,0.433586320211714,-1.81283229795291,0,0.433586320211714,-1.81283229795291,0,1.17271013625122,-2.46767960015617,0,1.17271013625122,-2.46767960015617,0,-0.372067537994032,0.305832693192341,0,-0.372067537994032,0.305832693192341,0,-0.984282583720825,0.622935000840283,0,-0.984282583720825,0.622935000840283,0,-0.365987252770769,0.654019321796766,0,-0.365987252770769,0.654019321796766,0,-1.80568579372731,2.18756956463081,0,-1.80568579372731,2.18756956463081
0.020408163265306,0,0.427410814410182,-1.80950468720375,0,0.427410814410182,-1.80950468720375,0,1.15786068838164,-2.46048917717001,0,1.15786068838164,-2.46048917717001,0,-0.611375074351651,0.329433464167409,0,-0.611375074351651,0.329433464167409,0,-1.47009533908858,0.711851875629398,0,-1.47009533908858,0.711851875629398,0,-0.385618500246381,0.713413062714509,0,-0.385618500246381,0.713413062714509,0,-1.22031371991058,1.61905466135836,0,-1.22031371991058,1.61905466135836
0.030612244897959,0,0.418605304371245,-1.80606016962824,0,0.418605304371245,-1.80606016962824,0,1.1398371205146,-2.45532574916604,0,1.1398371205146,-2.45532574916604,0,-0.871745493854759,0.341007239975595,0,-0.871745493854759,0.341007239975595,0,-1.78433321883659,0.511179372393028,0,-1.78433321883659,0.511179372393028,0,-0.578130808889464,1.10999495061259,0,-0.578130808889464,1.10999495061259,0,0.038566598226402,1.30233836139095,0,0.038566598226402,1.30233836139095
0.040816326530612,0,0.407779841222229,-1.80226985103748,0,0.407779841222229,-1.80226985103748,0,1.12130991435087,-2.45442761741216,0,1.12130991435087,-2.45442761741216,0,-1.07172085175257,0.37524154048528,0,-1.07172085175257,0.37524154048528,0,-1.83419341020971,0.088915043634908,0,-1.83419341020971,0.088915043634908,0,-0.700190344104404,1.40260432824351,0,-0.700190344104404,1.40260432824351,0,0.239818003946784,1.89164183001028,0,0.239818003946784,1.89164183001028
0.051020408163265,0,0.395461557223491,-1.79733361896909,0,0.395461557223491,-1.79733361896909,0,1.10181343381396,-2.45525729554062,0,1.10181343381396,-2.45525729554062,0,-1.21951011587506,0.488686974770037,0,-1.21951011587506,0.488686974770037,0,-1.93015157315383,-0.082138134717499,0,-1.93015157315383,-0.082138134717499,0,-0.813130254967053,1.70285504249927,0,-0.813130254967053,1.70285504249927,0,0.412736443772767,2.50884267237113,0,0.412736443772767,2.50884267237113
0.061224489795918,0,0.382172443368041,-1.79041176382316,0,0.382172443368041,-1.79041176382316,0,1.08098159849501,-2.45506037513889,0,1.08098159849501,-2.45506037513889,0,-1.31562227168959,0.685263659446806,0,-1.31562227168959,0.685263659446806,0,-2.06235169657593,0.01949511977117,0,-2.06235169657593,0.01949511977117,0,-0.980414119548622,2.14278371116005,0,-0.980414119548622,2.14278371116005,0,0.630241429278237,3.29232444870148,0,0.630241429278237,3.29232444870148
0.071428571428572,0,0.368117265399393,-1.77980013613299,0,0.368117265399393,-1.77980013613299,0,1.05828817622553,-2.45050786288737,0,1.05828817622553,-2.45050786288737,0,-1.39146261889607,1.05055114132681,0,-1.39146261889607,1.05055114132681,0,-2.24664880467894,0.450698712900063,0,-2.24664880467894,0.450698712900063,0,-1.18131410112759,2.68283099904836,0,-1.18131410112759,2.68283099904836,0,0.906887928264898,4.25005992579257,0,0.906887928264898,4.25005992579257
0.081632653061225,0,0.353531392325085,-1.76337150170099,0,0.353531392325085,-1.76337150170099,0,1.03338232384895,-2.43744484113438,0,1.03338232384895,-2.43744484113438,0,-1.44400143435648,1.62643480876799,0,-1.44400143435648,1.62643480876799,0,-2.46567938528143,1.29323915354559,0,-2.46567938528143,1.29323915354559,0,-1.44598469650937,3.3797971293224,0,-1.44598469650937,3.3797971293224,0,1.26026707623373,5.35177281353931,0,1.26026707623373,5.35177281353931
0.091836734693878,0,0.338074522443949,-1.73778336594394,0,0.338074522443949,-1.73778336594394,0,1.00560373305082,-2.41123770644512,0,1.00560373305082,-2.41123770644512,0,-1.53023011823255,2.53322543994834,0,-1.53023011823255,2.53322543994834,0,-2.7500804890147,2.59450633423714,0,-2.7500804890147,2.59450633423714,0,-1.74318204292937,4.12273057919411,0,-1.74318204292937,4.12273057919411,0,1.68680990651151,6.46762501191196,0,1.68680990651151,6.46762501191196
