t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,qdd_fl1,qdd_fl2,qdd_fl3,qdd_fr1,qdd_fr2,qdd_fr3,qdd_bl1,qdd_bl2,qdd_bl3,qdd_br1,qdd_br2,qdd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3
0.025,0.16600131052198,-0.524999097254117,1.15652059388747,-0.166001173961384,-0.524999119326124,1.15652059863825,-0.166001338812817,0.541999471966047,-1.15902119123548,0.166001166486376,0.541999522767623,-1.15902125802555,5.15976876917727E-05,3.55373544535383E-05,0.00081080415403,-4.62211515907114E-05,3.46683544137822E-05,0.00081099118084,-5.27114097329963E-05,-2.07858580753843E-05,-0.000834319539118,4.59267167061961E-05,-1.87857549264344E-05,-0.000836949114606,4.14136914097654E-05,2.78563765927473E-05,0.000649207024182,-3.71092616274804E-05,2.71607082515467E-05,0.000649354639582,-4.22895144969428E-05,-1.62120856590415E-05,-0.000667674313668,3.68559591056475E-05,-1.46119505465188E-05,-0.000669776942251,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0275,0.166001440770298,-0.524999007557227,1.15652264058022,-0.166001290637855,-0.524999031822828,1.15652264580307,-0.166001471872233,0.54199941950343,-1.15902329728199,0.166001282419343,0.541999475353796,-1.15902337070979,5.18414046597063E-05,3.57035841349821E-05,0.000814629960611,-4.64395005718538E-05,3.48304839385543E-05,0.00081481786473,-5.29603434361596E-05,-2.08828887402975E-05,-0.000838255425346,4.61436339001685E-05,-1.88733513202573E-05,-0.00084089740156,1.12111520882445E-05,7.04641096698156E-06,0.000174617287092,-1.00537718289704E-05,6.85941771925565E-06,0.000174655396415,-1.14347632336248E-05,-4.03911539091206E-06,-0.000179314903462,9.97250826243144E-06,-3.60971759607715E-06,-0.000179878329665,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.03,0.166001570872725,-0.52499891796511,1.15652468497052,-0.166001407183705,-0.524998944421836,1.15652469066491,-0.166001604782492,0.541999367102619,-1.15902540095695,0.166001398222413,0.541999427996086,-1.159025481015,5.2128536374596E-05,3.58997369392E-05,0.000819138178872,-4.66967390576656E-05,3.50218052813034E-05,0.000819327117742,-5.32536292362806E-05,-2.09974232984678E-05,-0.000842893522749,4.63991929728991E-05,-1.89767681649755E-05,-0.00084555011299,-2.33296000828886E-05,-1.67532426758044E-05,-0.000368154554053,2.08878023215675E-05,-1.63584894607993E-05,-0.000368241681372,2.3851871816305E-05,9.88270176094375E-06,0.000379204836463,-2.07722946754529E-05,8.9731651087277E-06,0.000380401747861,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0325,0.16600170082934,-0.524998828477701,1.15652672705986,-0.166001523599004,-0.524998857123084,1.15652673322523,-0.166001737543674,0.541999314763574,-1.15902750226188,0.166001513895653,0.541999380694459,-1.15902758894269,5.22378976825159E-05,3.59733964370824E-05,0.00082085283887,-4.67947315623151E-05,3.50936274279456E-05,0.000821042167918,-5.33653058710831E-05,-2.10403042395546E-05,-0.000844657009911,4.64965189075184E-05,-1.90154226852121E-05,-0.000847319153972,-4.00899812853667E-05,-2.83009424002916E-05,-0.00063151153226,3.5901843133098E-05,-2.76239134884732E-05,-0.000631659424725,4.09741936309457E-05,1.66376151856387E-05,0.000650202791838,-3.5690877503483E-05,1.50784200914221E-05,0.000652253825928,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.035,0.166001830640223,-0.524998739094935,1.15652876684971,-0.166001639883823,-0.524998769926509,1.15652877348553,-0.166001870155862,0.541999262486258,-1.1590296011983,0.166001629439135,0.541999333448879,-1.1590296944944,5.21853700430464E-05,3.59355056277761E-05,0.000820023503706,-4.6747704663923E-05,3.50566258949702E-05,0.000820212635943,-5.33115977471362E-05,-2.10179327826675E-05,-0.000843802690742,4.64497478064417E-05,-1.89951004663742E-05,-0.000846462137811,-4.06580890705824E-05,-2.86909887700363E-05,-0.000640409983461,3.64109595236449E-05,-2.80044071133044E-05,-0.000640559927994,4.15545926858972E-05,1.68657471401074E-05,0.00065935937968,-3.61968005459578E-05,1.52846060330645E-05,0.000661439261377,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0375,0.166001960305458,-0.524998649816745,1.15653080434155,-0.166001756038236,-0.524998682832047,1.15653081144726,-0.166002002619142,0.541999210270631,-1.15903169776773,0.166001744852931,0.541999286259311,-1.15903179767164,5.20461015691445E-05,3.58378473674922E-05,0.000817831119739,-4.66229754565983E-05,3.49613178315093E-05,0.000818019740664,-5.31692756882208E-05,-2.09605998292781E-05,-0.000841545775485,4.6325768551905E-05,-1.89431791840651E-05,-0.00084419810487,-3.25486913323434E-05,-2.31016679733138E-05,-0.000512944569317,2.91468170634968E-05,-2.25516862222522E-05,-0.000513065101377,3.32701063311348E-05,1.35961880982401E-05,0.000528195649825,-2.89789072593822E-05,1.23294906540965E-05,0.000529862116362,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.04,0.166002089825129,-0.524998560643065,1.15653283953686,-0.166001872062315,-0.524998595839632,1.15653284711192,-0.166002134933598,0.541999158116656,-1.15903379197169,0.166001860137113,0.541999239125721,-1.15903389847595,5.18952403737671E-05,3.5732204512442E-05,0.000815456633331,-4.64878610344499E-05,3.48582203866954E-05,0.000815644700929,-5.30151105181176E-05,-2.08985962808583E-05,-0.000839101474385,4.61914700261445E-05,-1.88870365138882E-05,-0.000841746095512,-2.32765559644577E-05,-1.67112661983992E-05,-0.000367209951492,2.0841081322942E-05,-1.63174667022759E-05,-0.000367296855075,2.37977719166338E-05,9.8580285339267E-06,0.00037823265211,-2.07260411002608E-05,8.95084167495952E-06,0.000379426453037,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0425,0.166002219199319,-0.524998471573831,1.1565348724371,-0.166001987956136,-0.524998508949202,1.15653488048097,-0.166002267099314,0.541999106024293,-1.1590358838117,0.166001975291755,0.541999192048074,-1.15903599690884,5.17920540101445E-05,3.56594169122998E-05,0.000813831427457,-4.63954528219214E-05,3.4787175177522E-05,0.000814019114615,-5.29096495855683E-05,-2.08558118174614E-05,-0.000837428193488,4.60996059357646E-05,-1.88482645475495E-05,-0.000840067536501,-1.87683989457236E-05,-1.36037690220499E-05,-0.00029634445276,1.68028549672167E-05,-1.32859112200617E-05,-0.000296415002166,1.91922834999157E-05,8.0402367689279E-06,0.000305311016587,-1.67135321188241E-05,7.30786844412281E-06,0.000306274973643,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.045,0.166002348428115,-0.524998382608977,1.15653690304375,-0.166002103719774,-0.524998422160691,1.15653691155589,-0.166002399116382,0.541999053993505,-1.15903797328927,0.166002090316934,0.541999145026335,-1.15903809297185,5.17322877925991E-05,3.5616552390594E-05,0.000812888631549,-4.63419395647954E-05,3.47453216924274E-05,0.000813076095728,-5.28485463391593E-05,-2.08305312334658E-05,-0.000836457122057,4.60463892848413E-05,-1.88253130411654E-05,-0.00083909340022,-1.85987285949032E-05,-1.3485959574951E-05,-0.000293661040348,1.66509890413464E-05,-1.31709695612041E-05,-0.000293730967251,1.90189619686873E-05,7.9712925164858E-06,0.000302549694157,-1.6562656740206E-05,7.24554682216588E-06,0.000303504940771,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
0.0475,0.166002477511605,-0.524998293748438,1.15653893135829,-0.166002219353309,-0.524998335474037,1.15653894033816,-0.166002530984889,0.541999002024252,-1.15904006040592,0.166002205212726,0.541999098060468,-1.15904018666648,5.16958064757266E-05,3.55897357643162E-05,0.000812311811653,-4.63092843391893E-05,3.47191238877111E-05,0.000812499137304,-5.28112307524378E-05,-2.08146381018317E-05,-0.00083586264516,4.6013897901819E-05,-1.88108461669554E-05,-0.000838497045452,-2.07540013157492E-05,-1.49703203762699E-05,-0.000327516342595,1.8581771685304E-05,-1.46190382910246E-05,-0.000327594077809,2.12207849182013E-05,8.83955333771298E-06,0.000337387215934,-1.8481177983266E-05,8.03029429769586E-06,0.000338452257102,1.15036998588745,3.49679355344874,1.37991344921797,-1.14569785752849,3.48700739425982,1.37022323563763,-4.6017415448549,3.90992814547477,2.23325900532659,4.62071494031172,3.91059594411644,2.24013929688638
