, ,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
10,10,2.0400000000000014,0.0737862357054747,0.1437125545226085,0,-1.9672548578801408,-0.4360648321926583,0.0031232884689381,0,-0.4956716185318335,0.8263426511177641,0.0931125185479357,0,-1.0757020298057205,0.0161116087121832,0.1197887308182878,0,1.2831980566247772,-0.4511648856222488,-0.0239830222268881,0,-1.1138204865667665,1.237922459600126,-0.173041575043655,0,-1.984356704538916,0.1221687910882915,-0.326462351136109,0,1.787611675809092,0.6879028591712455,-0.0344258498681069,0,0.3088418986710111,-1.3808116898226095,0.0231763828373756,0,2.2463881648709867,0.1175899282936982,-0.3572788286769525,0,-2.796303357293541,0.519613519132083,0.2277176527701748,0,1.19096480815793,-1.3563662343213887,-0.2099899537135714,0,2.873874764096047
11,11,2.0440000000000014,0.0743544000453306,0.1415053385179479,0,-1.967195635214528,-0.4360540122044014,0.0025806541864947,0,-0.4979133041936959,0.8267383284209878,0.1008441113228057,0,-1.0751590449924977,0.0165800253021866,0.1162337622092735,0,1.2789540075952135,-0.4512558272788885,-0.0223210567994652,0,-1.1169358495011392,1.2371850442244872,-0.1881027214094083,0,-1.984283065082378,0.1208442002973764,-0.3327394134989599,0,1.790676188573788,0.6877614216171197,-0.035689362909113,0,0.3105279699446402,-1.380728539733106,0.0200007717724063,0,2.2458078033424806,0.1161437490942647,-0.3630000080962519,0,-2.791684559393471,0.5205440835009795,0.2342815420373505,0,1.1920504306567434,-1.3572165977402106,-0.2134610529549207,0,2.8765013785067106
12,12,2.0480000000000014,0.0749136171820653,0.1392588207160012,0,-1.9671318450071,-0.4360453624149437,0.002037691213499,0,-0.5001706013071742,0.8271647571132716,0.1085185136793396,0,-1.0746686889559889,0.0170342670748008,0.112693689885673,0,1.274780943935821,-0.4513403118069671,-0.0207225420313686,0,-1.1199719158112962,1.236388654557394,-0.202741574192348,0,-1.9841598546866337,0.1194950691318652,-0.3388289324261622,0,1.7938990052774946,0.687614805425029,-0.0369942845114108,0,0.3122422581443269,-1.3806579547217557,0.0168712261879952,0,2.245296567336819,0.1146752051448145,-0.3685494160526202,0,-2.786943478244829,0.5215004018035501,0.2406802039453216,0,1.1930452377126686,-1.3580806428632448,-0.2168654501144127,0,2.8791680532118096
13,13,2.0520000000000014,0.075463722033284,0.1369703449239489,0,-1.9671289658622104,-0.4360388902902186,0.0014923514375286,0,-0.5024445256499562,0.827621732213339,0.116143614134481,0,-1.074230921439936,0.017474385152234,0.109165657647535,0,1.2706749113851965,-0.4514185794133711,-0.0191829305896923,0,-1.122981270633555,1.2355349754840173,-0.2169597793760853,0,-1.9840111745522515,0.1181221510821626,-0.3447297460373036,0,1.7972573033398642,0.6874628232616745,-0.0383477835862911,0,0.3140568344908211,-1.3805997100660783,0.0138011592663508,0,2.2448881436228314,0.1131849894123116,-0.3739250722135869,0,-2.7821284482554915,0.5224818087943288,0.2469121870744474,0,1.1938164275507124,-1.3589580960618042,-0.2202008385464672,0,2.8818153479753663
14,14,2.0560000000000014,0.0760045368011545,0.1346365885814155,0,-1.9671346732599968,-0.436034611998279,0.0009424325607293,0,-0.5047441717766118,0.8281090787952565,0.1237267892654841,0,-1.0738533639575016,0.0179004188383625,0.1056466894642688,0,1.2666656037718624,-0.4514908529355746,-0.0176979434838149,0,-1.1259160711100356,1.2346256765325077,-0.2307618522264668,0,-1.983819076155762,0.1167262042696692,-0.3504406981689619,0,1.8007583911044809,0.6873052661591307,-0.0397547296443666,0,0.3158637617305326,-1.3805535298583549,0.0108031478610474,0,2.2445307806523727,0.1116738004691312,-0.3791257408915716,0,-2.7771860923123968,0.5234876283345473,0.2529744155063966,0,1.194497177367927,-1.3598486748130774,-0.2234650277555771,0,2.88449782983196
15,15,2.0600000000000014,0.0765358726607293,0.132254961418174,0,-1.967163169877837,-0.4360325508429457,0.0003862746994543,0,-0.5070916395311428,0.8286266496571573,0.1312748409939858,0,-1.073546898925751,0.0183123959924931,0.1021339578009435,0,1.2627129616015746,-0.4515573367836086,-0.0162628927239009,0,-1.128718626519796,1.2336624041837654,-0.2441539312812453,0,-1.9835620750305043,0.1153079909282988,-0.355960826098429,0,1.804440986677294,0.6871418996840468,-0.0412219166407203,0,0.317699923218735,-1.3805190920238544,0.0078884040802029,0,2.244243598177325,0.1101423432225413,-0.3841497658415708,0,-2.7722082906040115,0.5245171811719975,0.2588667864597976,0,1.1950842525738123,-1.360752086886344,-0.2266555294486461,0,2.887209086835565
16,16,2.0640000000000014,0.0770575286857128,0.1298223171811061,0,-1.967166619984985,-0.4360327371731117,-0.0001779077535934,0,-0.5094225745908098,0.8291743233995214,0.1387941007674349,0,-1.0732831639345437,0.0187103298534551,0.0986235752669459,0,1.2588130794543335,-0.4516182148113108,-0.0148725258994031,0,-1.1315056710956894,1.2326467757850852,-0.257143641493865,0,-1.983291566744141,0.1138682802650547,-0.3612881698271796,0,1.8082761410808832,0.6869724677799219,-0.0427543279476109,0,0.3195776399285127,-1.3804960325482163,0.0050671669048539,0,2.244032685207309,0.1085913250802495,-0.3889968237099906,0,-2.7671442774988124,0.5255697901719071,0.2645900312533292,0,1.1954927699106996,-1.361668033387896,-0.2297709473358574,0,2.889912387453388
17,17,2.0680000000000014,0.077569296761503,0.1273372661848701,0,-1.9672300594911016,-0.4360352051761397,-0.0007508265386925,0,-0.5117139572948421,0.8297520024608313,0.1462904050622984,0,-1.0730538533860614,0.0190942216535942,0.0951128128921608,0,1.2550871154802232,-0.4516736541769679,-0.0135229842694806,0,-1.1342409285534722,1.2315803725286234,-0.2697404546872756,0,-1.982992318704451,0.1124078430714317,-0.3664228105968627,0,1.8122316129640528,0.6867966969043106,-0.0443561478186193,0,0.3214561511244517,-1.3804839498391253,0.0023485514837398,0,2.2438748269638635,0.1070214538170694,-0.3936669185977209,0,-2.761939397444836,0.5266447742199865,0.2701426588135748,0,1.195810858981012,-1.362596206596272,-0.2328088148108737,0,2.89264647910509
18,18,2.0720000000000014,0.0780709591824027,0.1247971245867145,0,-1.9672795532489609,-0.4360399931750753,-0.0013336068815001,0,-0.5139938936225396,0.8303596136865188,0.1537699464967744,0,-1.0728717432753831,0.0194640658966851,0.0916002895115855,0,1.2513706546815728,-0.451723807973741,-0.0122108667507931,0,-1.1368816059687967,1.2304647386235334,-0.2819535268461256,0,-1.982652670405804,0.1109274480397671,-0.3713654171588857,0,1.8163875064225183,0.6866142949877809,-0.0460321366914777,0,0.3234228967152847,-1.3804824083058511,-0.0002591379788068,0,2.2438173850913063,0.1054334396587753,-0.3981592773188938,0,-2.756758872034159,0.5277414528502341,0.2755253147554196,0,1.1959567675005218,-1.363536288764101,-0.2357666203171605,0,2.895365437968136
19,19,2.0760000000000014,0.0785622902221521,0.1222000900256231,0,-1.9673290242401955,-0.4360471429109138,-0.0019270182489638,0,-0.5163060937722954,0.830997105621497,0.1612378959396241,0,-1.0727616625459344,0.0198198430092146,0.0880818843057702,0,1.2477397505657724,-0.4517688117112518,-0.0109315051905732,0,-1.1394318097639102,1.2293013773856347,-0.2937934045840338,0,-1.9822728198125492,0.1094278662394246,-0.3761150403650078,0,1.8205773195344035,0.686424958563942,-0.0477845691987786,0,0.3253570700686906,-1.380490942143773,-0.0027486029294982,0,2.2437931671563867,0.1038279870194511,-0.4024759974171222,0,-2.751405326429536,0.5288591475164747,0.2807384494032808,0,1.1960056506736678,-1.364487957263983,-0.2386435563871826,0,2.898110666297864
