,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
0,0,0.166282414404634,0,0,-4.14972151611479,-0.524733506663789,0,0,-0.756735235317477,1.15651129775469,0,0,-1.97144678537584,-0.166282513149128,0,0,4.14971408418176,-0.524733423729175,0,0,-0.756735354184409,1.15651112646848,0,0,-1.97144740604768,-0.166282414404635,0,0,4.26151439923866,0.541868985906982,0,0,0.55330621279127,-1.15884462682362,0,0,2.02740006893675,0.166282513149127,0,0,-4.26148547107424,0.541868902168761,0,0,0.575289810918438,-1.15884445571251,0,0,2.03813072148507
1,0.00249981880188,0.166282412442504,0,0,-4.14972143692047,-0.524733545404606,0,0,-0.75674105321004,1.15651130699547,0,0,-1.97144955714622,-0.16628251511126,0,0,4.14971408451748,-0.524733459174037,0,0,-0.756741170804963,1.15651112890207,0,0,-1.97145017117617,-0.166282412442504,0,0,4.26151432096888,0.541869023872347,0,0,0.55331192528351,-1.1588446343818,0,0,2.02740281912402,0.16628251511126,0,0,-4.26150713390859,0.541868936806236,0,0,0.553312011094271,-1.15884445647046,0,0,2.02740345239807
2,0.004999876022339,0.166282410607723,0,0,-4.14986942201813,-0.524733591767973,0,0,-0.745795089694517,1.1565113172317,0,0,-1.96448902409328,-0.166282516946041,0,0,4.14971411932192,-0.524733502455368,0,0,-0.75674627150354,1.15651113277293,0,0,-1.97145259515464,-0.166282410607723,0,0,4.26151422439556,0.541869069294306,0,0,0.553316935445869,-1.15884464258576,0,0,2.02740523537824,0.16628251694604,0,0,-4.26150716724305,0.541868979116296,0,0,0.553317019705581,-1.15884445831556,0,0,2.02740585720572
3,0.007499933242798,0.166282409210286,0,0,-4.14986901851756,-0.524733643149215,0,0,-0.745797995574125,1.15651132755675,0,0,-1.96449044114086,-0.166282518343477,0,0,4.14986258007465,-0.524733551489219,0,0,-0.745798098079718,1.15651113824988,0,0,-1.96449097826254,-0.166282409210286,0,0,4.26151382980315,0.541869119615682,0,0,0.553319786324313,-1.15884465063553,0,0,2.02740664206075,0.166282518343477,0,0,-4.26150753771766,0.541869027067535,0,0,0.553319861449416,-1.15884446152219,0,0,2.02740719647581
4,0.009999990463257,0.166282408483387,0,0,-4.14972030493194,-0.524733687592262,0,0,-0.756748354032066,1.15651133571543,0,0,-1.97145312740187,-0.166282519070376,0,0,4.14986324360335,-0.524733594711233,0,0,-0.745797370017128,1.15651114388675,0,0,-1.96449058885094,-0.166282408483387,0,0,4.26151321384438,0.541869163129424,0,0,0.553319088917509,-1.15884465680871,0,0,2.02740636529096,0.166282519070375,0,0,-4.26150818652288,0.541869069348412,0,0,0.553319148941813,-1.15884446517613,0,0,2.02740680826376
5,0.012499809265137,0.166282408118363,0,0,-4.14971999193034,-0.524733722210957,0,0,-0.7567448845498,1.15651134174819,0,0,-1.97145151012138,-0.166282519435398,0,0,4.14971554906209,-0.524733628716767,0,0,-0.75674495560939,1.15651114865314,0,0,-1.97145188116391,-0.166282408118364,0,0,4.26149124512007,0.541869197019,0,0,0.575299190573172,-1.15884466128759,0,0,2.03813477175328,0.166282519435398,0,0,-4.26150856573052,0.541869102618885,0,0,0.553315732228151,-1.15884446838993,0,0,2.02740514465842
6,0.014999866485596,0.166282407895253,0,0,-4.14971988884179,-0.524733752072581,0,0,-0.756741941541245,1.15651134680494,0,0,-1.97145012600465,-0.166282519658511,0,0,4.14971571523693,-0.52473365820361,0,0,-0.756742008294215,1.15651115293585,0,0,-1.97145047455986,-0.166282407895253,0,0,4.26149114503919,0.541869226249304,0,0,0.575296300051955,-1.15884466500064,0,0,2.03813339976618,0.166282519658511,0,0,-4.26148706543488,0.541869131470777,0,0,0.575296349364696,-1.15884447132974,0,0,2.03813375953716
7,0.017499923706055,0.166282407837339,0,0,-4.14971973249457,-0.524733780808386,0,0,-0.756741912796298,1.15651135141979,0,0,-1.9714501284587,-0.166282519716423,0,0,4.14971588581759,-0.524733686842132,0,0,-0.756741974320358,1.15651115734979,0,0,-1.9714504497108,-0.166282407837339,0,0,4.26149099236805,0.541869254373504,0,0,0.575296270990801,-1.15884466831678,0,0,2.0381334028411,0.166282519716423,0,0,-4.26148723232835,0.541869159496751,0,0,0.575296316440765,-1.15884447444517,0,0,2.0381337344304
8,0.019999980926514,0.166282407936496,0,0,-4.14971955410484,-0.52473381136973,0,0,-0.756744945032523,1.15651135607022,0,0,-1.97145158515744,-0.166282519617266,0,0,4.14971602855282,-0.524733717570038,0,0,-0.756745001420484,1.15651116234422,0,0,-1.97145187959105,-0.166282407936496,0,0,4.26149081760851,0.5418692842802,0,0,0.575299247557047,-1.15884467158016,0,0,2.03813484798719,0.166282519617266,0,0,-4.26148737146119,0.541869189571622,0,0,0.575299289212796,-1.1588444780522,0,0,2.03813515189505
9,0.022499799728394,0.166282408184451,0,0,-4.14971936014342,-0.524733846729061,0,0,-0.75675039437236,1.15651136123724,0,0,-1.971454190557,-0.166282519369312,0,0,4.14971614907616,-0.524733753345876,0,0,-0.756750445730427,1.15651116837147,0,0,-1.97145445872667,-0.166282408184451,0,0,4.26149062721723,0.541869318878636,0,0,0.575304597497287,-1.15884467513755,0,0,2.03813743222514,0.166282519369311,0,0,-4.26150915190627,0.541869224590601,0,0,0.553321124876345,-1.15884448246893,0,0,2.02740770027136
